"ci" "cci" "ri" "rc" "rhi" "rhiBar" "rci"
"1" NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA
"4" 1 NA NA NA NA NA NA
"5" NA NA NA NA NA NA NA
"6" 1 1 1 1 0 0 1
"7" 0.666666666666667 0.504190140312106 0.5 0.333333333333333 0.5 0.510464522715671 0.493637444311536
"8" 0.666666666666667 0.949451314159269 0.941176470588235 0.627450980392157 0.0714285714285714 0.0697350069735007 0.93836736964092
"9" 0.666666666666667 0.896495711059909 0.888888888888889 0.592592592592593 0.111111111111111 0.117536436295252 0.890003729534687
"10" 1 NA NA NA NA NA NA
"11" 1 NA NA NA NA NA NA
"12" 1 NA NA NA NA NA NA
"13" 1 NA NA NA NA NA NA
"14" NA NA NA NA NA NA NA
"15" NA NA NA NA NA NA NA
"16" 1 1 1 1 0 0 1
"17" 1 1 1 1 0 0 1
"18" NA NA NA NA NA NA NA
"19" 1 NA NA NA NA NA NA
"20" 0.6 0.507634774494265 0.5 0.3 0.5 0.509554140127389 0.497933273910141
"21" 1 NA NA NA NA NA NA
"22" 0.5 0.813893268589626 0.8 0.4 0.222222222222222 0.216029379995679 0.797553159920195
"23" 1 1 1 1 0 0 1
"24" 0.75 0.755668454103621 0.75 0.5625 0.25 0.254712175241977 0.750919576879135
"25" 0.666666666666667 0.936649599480421 0.928571428571429 0.619047619047619 0.0769230769230769 0.0791577614185071 0.928816131457565
"26" 0.6 0.903024416211072 0.888888888888889 0.533333333333333 0.125 0.123632317487791 0.890223699463268
"27" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"28" 0.4 0.684178623180362 0.666666666666667 0.266666666666667 0.333333333333333 0.348027842227378 0.669077416587356
"29" 0.666666666666667 0.67226952785023 0.666666666666667 0.444444444444444 0.333333333333333 0.340831629175187 0.664707161124584
"30" 0.75 0.503759540196178 0.5 0.375 0.5 0.512557662737058 0.491106998600832
"31" 0.6 0.846343353778314 0.833333333333333 0.5 0.166666666666667 0.176647235470765 0.836181558327759
"32" 0.75 0.806062262199971 0.8 0.6 0.2 0.20708221163802 0.798923668346831
"33" 0.75 0.755668454103621 0.75 0.5625 0.25 0.25706940874036 0.748544003995029
"34" 0.6 0.6091859622315 0.6 0.36 0.4 0.419815281276238 0.58906174664353
"35" 0.333333333333333 0.818446819224383 0.789473684210526 0.263157894736842 0.25 0.254388196387688 0.772644316210877
"36" 0.3 0.647001472972135 0.611111111111111 0.183333333333333 0.411764705882353 0.425661295226513 0.607898361886558
"37" 0.5 0.955726684852184 0.944444444444444 0.472222222222222 0.0714285714285714 0.0707864373186098 0.940092731921602
"38" 0.428571428571429 0.82615805538973 0.8 0.342857142857143 0.235294117647059 0.239520958083832 0.785077490877241
"39" 0.333333333333333 0.690525273154956 0.666666666666667 0.222222222222222 0.363636363636364 0.361076006499368 0.661719265127246
"40" 0.4 0.71844683290426 0.7 0.28 0.3 0.316589278176446 0.701389918406173
"41" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"42" 0.4 0.789705340680836 0.769230769230769 0.307692307692308 0.25 0.247504331325798 0.772465275116635
"43" 0.6 0.6091859622315 0.6 0.36 0.4 0.414164423276041 0.594800609904602
"44" 0.333333333333333 0.517661748002047 0.5 0.166666666666667 0.5 0.529310572978695 0.487292635067587
"45" 0.666666666666667 0.806762867748192 0.8 0.533333333333333 0.2 0.207770621234158 0.7989228469378
"46" 0.75 0.755668454103621 0.75 0.5625 0.25 0.25706940874036 0.748544003995029
"47" 0.375 0.462190164794712 0.444444444444444 0.166666666666667 0.555555555555556 0.577100646352724 0.439768679859948
"48" 0.6 0.846343353778314 0.833333333333333 0.5 0.181818181818182 0.189663347558084 0.822934343650388
"49" 0.3 0.763340540099109 0.72 0.216 0.35 0.352680370818218 0.685573547276074
"50" 0.25 0.719863614934422 0.666666666666667 0.166666666666667 0.409090909090909 0.412522344960352 0.633451985201822
