"ci" "cci" "ri" "rc" "rhi" "rhiBar" "rci"
"1" NA NA NA NA NA NA NA
"2" 1 1 1 1 0 0 1
"3" 1 1 1 1 0 0 1
"4" 1 1 1 1 0 0 1
"5" NA NA NA NA NA NA NA
"6" NA NA NA NA NA NA NA
"7" 1 NA NA NA NA NA NA
"8" NA NA NA NA NA NA NA
"9" NA NA NA NA NA NA NA
"10" NA NA NA NA NA NA NA
"11" 1 NA NA NA NA NA NA
"12" 1 NA NA NA NA NA NA
"13" 1 NA NA NA NA NA NA
"14" 1 NA NA NA NA NA NA
"15" 1 NA NA NA NA NA NA
"16" NA NA NA NA NA NA NA
"17" 0.4 0.769895292479917 0.75 0.3 0.272727272727273 0.277238702522872 0.741859100036022
"18" 1 1 1 1 0 0 1
"19" 0.428571428571429 0.687921408211035 0.666666666666667 0.285714285714286 0.363636363636364 0.355176700408453 0.665336942867675
"20" 0.75 0.93023013711154 0.923076923076923 0.692307692307692 0.0833333333333333 0.081913499344692 0.925184472662363
"21" 0.5 0.933424151585294 0.916666666666667 0.458333333333333 0.111111111111111 0.108595319541728 0.907344158516699
"22" NA NA NA NA NA NA NA
"23" 0.428571428571429 0.737196137154331 0.714285714285714 0.306122448979592 0.307692307692308 0.323258445126879 0.698341507566333
"24" 1 1 1 1 0 0 1
"25" 1 NA NA NA NA NA NA
"26" 0.666666666666667 0.504190140312106 0.5 0.333333333333333 0.5 0.509683995922528 0.494424546370922
"27" 0.666666666666667 0.958446305375719 0.95 0.633333333333333 0.0666666666666667 0.0679071030829825 0.940222051931199
"28" 0.5 0.67410306477704 0.666666666666667 0.333333333333333 0.333333333333333 0.342827728208648 0.664500414778405
"29" 0.4 0.513011654253667 0.5 0.2 0.5 0.514668039114771 0.497955333552959
"30" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"31" 0.666666666666667 0.504190140312106 0.5 0.333333333333333 0.5 0.509683995922528 0.494424546370922
"32" 0.333333333333333 0.613695824474068 0.6 0.2 0.4 0.415973377703827 0.597347498686811
"33" 0.5 0.76774644414557 0.75 0.375 0.25 0.261871508379888 0.755566151271138
"34" 0.333333333333333 0.798777151075226 0.76 0.253333333333333 0.315789473684211 0.322997416020672 0.710773129109794
"35" 0.75 0.503759540196178 0.5 0.375 0.5 0.512557662737058 0.491106998600832
"36" 0.5 0.86099516449183 0.846153846153846 0.423076923076923 0.166666666666667 0.172146668961956 0.842306557943921
"37" 0.333333333333333 0.349476769684445 0.333333333333333 0.111111111111111 0.666666666666667 0.699463744462579 0.315073758666506
"38" 1 1 1 1 0 0 1
"39" 0.5 0.853420436278798 0.833333333333333 0.416666666666667 0.2 0.199693802835652 0.819416480491418
"40" 0.4 0.513011654253667 0.5 0.2 0.5 0.517777010700725 0.494764164571992
"41" 0.25 0.76879119618338 0.727272727272727 0.181818181818182 0.352941176470588 0.351617440225035 0.684687256857587
"42" 0.25 0.59146242559318 0.571428571428571 0.142857142857143 0.428571428571429 0.456273764258555 0.562754614401085
"43" 0.4 0.641365537233967 0.625 0.25 0.375 0.391389432485323 0.624530224792953
"44" 0.5 0.511632103717917 0.5 0.25 0.5 0.512207614819874 0.499136097646113
"45" 0.428571428571429 0.867953770005906 0.84 0.36 0.210526315789474 0.206590228282202 0.819296968418863
"46" 0.285714285714286 0.755628874546434 0.722222222222222 0.206349206349206 0.3125 0.30826140567201 0.723524108315286
"47" 0.333333333333333 0.476687761658567 0.454545454545455 0.151515151515151 0.545454545454545 0.573394495412844 0.447354029832523
"48" 0.333333333333333 0.345034758737335 0.333333333333333 0.111111111111111 0.666666666666667 0.690369347600967 0.320493162236745
"49" 0.375 0.520021397301069 0.5 0.1875 0.555555555555556 0.543360139100196 0.474883046645039
"50" 0.272727272727273 0.712879248987708 0.666666666666667 0.181818181818182 0.4 0.409228093508619 0.631080436699336
"51" 0.25 0.690675383218575 0.64 0.16 0.428571428571429 0.435097897026831 0.608932812137279
"52" 0.272727272727273 0.355531135630717 0.333333333333333 0.0909090909090909 0.666666666666667 0.698324022346369 0.321732645495262
"53" 0.333333333333333 0.73508542153255 0.7 0.233333333333333 0.333333333333333 0.340967210319941 0.691800996698038
"54" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"55" 0.222222222222222 0.443728286162851 0.416666666666667 0.0925925925925926 0.636363636363636 0.635497049477985 0.388097280165484
"56" 0.272727272727273 0.794814348836928 0.741935483870968 0.202346041055718 0.333333333333333 0.337709485415172 0.708147080461851
"57" 0.272727272727273 0.740661135790587 0.692307692307692 0.188811188811189 0.4 0.391983928658925 0.649624239210117
"58" 0.272727272727273 0.45728764645753 0.428571428571429 0.116883116883117 0.615384615384615 0.61017466249714 0.415873434304639
"59" 0.3 0.795672394321724 0.75 0.225 0.318181818181818 0.319926873857404 0.720547636653839
"60" 0.333333333333333 0.679169202776514 0.647058823529412 0.215686274509804 0.375 0.380831482069184 0.649772396355645
"61" 0.285714285714286 0.643339935828508 0.615384615384615 0.175824175824176 0.416666666666667 0.41250721887633 0.614100758236668
"62" 0.3 0.722413809413909 0.681818181818182 0.204545454545455 0.368421052631579 0.378603493969387 0.657950315314762
"63" 0.2 0.576881486047634 0.52 0.104 0.571428571428571 0.564121850319669 0.482898550057124
"64" 0.25 0.637182295341937 0.590909090909091 0.147727272727273 0.473684210526316 0.473410130976803 0.567397529565222
"65" 0.25 0.674301997081266 0.625 0.15625 0.45 0.458972920597685 0.58303950298673
"66" 0.25 0.719863614934422 0.666666666666667 0.166666666666667 0.409090909090909 0.417072153482552 0.628507371476917
"67" 0.333333333333333 0.798777151075226 0.76 0.253333333333333 0.285714285714286 0.282047666055563 0.75409565485515
"68" 0.176470588235294 0.442091897628222 0.391304347826087 0.0690537084398977 0.7 0.693584344810503 0.345775978421322
"69" 0.176470588235294 0.604540290114899 0.533333333333333 0.0941176470588235 0.583333333333333 0.597218667349202 0.455146055686876
"70" 0.5 0.819101615503182 0.8 0.4 0.214285714285714 0.214423558001572 0.804275798080173
"71" 0.2 0.474758362427199 0.428571428571429 0.0857142857142857 0.666666666666667 0.671666853240793 0.363331883227498
"72" 0.166666666666667 0.42800751334991 0.375 0.0625 0.714285714285714 0.722230247002745 0.316560055596479
"73" 0.272727272727273 0.753044327735818 0.703703703703704 0.191919191919192 0.363636363636364 0.360864269926474 0.683145619731927
"74" 0.157894736842105 0.559956016384861 0.483870967741935 0.0764006791171477 0.666666666666667 0.67125356603457 0.378917508610276
"75" 0.142857142857143 0.53757587037044 0.478260869565217 0.0683229813664596 0.631578947368421 0.626370184779204 0.419223662637111
"76" 0.272727272727273 0.498034051646669 0.466666666666667 0.127272727272727 0.571428571428571 0.57179615467086 0.456894626750452
"77" 0.222222222222222 0.443728286162851 0.416666666666667 0.0925925925925926 0.636363636363636 0.621559225714793 0.40295781054698
"78" 0.1875 0.209276566291467 0.1875 0.03515625 0.866666666666667 0.867476311223809 0.147863878407256
"79" 0.3 0.528990564564352 0.5 0.15 0.538461538461538 0.531268973891925 0.495839533673887
"80" 0.2 0.597592872910598 0.538461538461538 0.107692307692308 0.571428571428571 0.5862523816503 0.458252433072529
"81" 0.15 0.483223334997134 0.413793103448276 0.0620689655172414 0.739130434782609 0.733106214153262 0.310624962129019
"82" 0.157894736842105 0.415192316487666 0.36 0.0568421052631579 0.727272727272727 0.744220661426113 0.294469718397574
"83" 0.15 0.528062746651536 0.451612903225806 0.067741935483871 0.708333333333333 0.720369507182508 0.325521455581814
"84" 0.166666666666667 0.362817704658064 0.318181818181818 0.053030303030303 0.75 0.765579543714592 0.267018447601892
"85" 0.15 0.528062746651536 0.451612903225806 0.067741935483871 0.739130434782609 0.726775255440127 0.318028249292755
"86" 0.130434782608696 0.20021722401339 0.166666666666667 0.0217391304347826 0.952380952380952 0.962973662670326 0.044386930401131
"87" 0.176470588235294 0.497548367195661 0.44 0.0776470588235294 0.666666666666667 0.658142158706281 0.385943986656799
"88" 0.1875 0.560214086261626 0.5 0.09375 0.590909090909091 0.591742910464746 0.456671774428272
"89" 0.176470588235294 0.497548367195661 0.44 0.0776470588235294 0.666666666666667 0.663947642985867 0.379360422317283
"90" 0.166666666666667 0.508023057989681 0.444444444444444 0.0740740740740741 0.681818181818182 0.679071030829825 0.365965185453442
"91" 0.166666666666667 0.325647720136315 0.285714285714286 0.0476190476190476 0.833333333333333 0.826082167639608 0.197980334103521
"92" 0.142857142857143 0.447601325581824 0.379310344827586 0.0541871921182266 0.782608695652174 0.787263820853744 0.25008520304517
"93" 0.176470588235294 0.442091897628222 0.391304347826087 0.0690537084398977 0.7 0.693584344810503 0.345775978421322
"94" 0.15 0.372806941645926 0.32 0.048 0.772727272727273 0.790734452765245 0.243334676415374
"95" 0.130434782608696 0.277604436435392 0.230769230769231 0.0301003344481605 0.909090909090909 0.92846200269254 0.0858010204903632
"96" 0.166666666666667 0.552398674418176 0.482758620689655 0.0804597701149425 0.681818181818182 0.681942171303873 0.362675656276383
