"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.710013563962393 0.213808196945159 0.122760606085489 0.140025083490333 0.087463641792526 0.166042038546817
"mb50" 0.943858142103326 0.250273651357248 0.89009157551811 0.206194942646637 0.102400214784782 0.123211541923644
"mb51" 0.772382269123332 0.197233293642266 0.631781937377204 0.147543209258014 0.0896071846043303 0.0896674331310913
"mb52" 0.799292248113774 0.226432705833876 0.71930477378382 0.176385490817233 0.0863628020341401 0.0953300810381333
"mb53" 0.803732225074359 0.241273367441418 0.510122135492027 0.176860876968527 0.112558642686026 0.155716031307738
"mb54" 0.868723702664797 0.233382265812265 0.78728560071708 0.184214294192366 0.0920683363530101 0.102572732054059
"mb55" 0.809101309860142 0.218818359346421 0.682418509095312 0.169620150502921 0.110225574247819 0.114468541259205
"mb56" 0.794486045850316 0.234055175966463 0.547351643184067 0.177340164045848 0.112023687883287 0.147658887690008
"mb57" 0.880767412011079 0.249952662910457 0.802448646610793 0.198025998323368 0.0979156608223242 0.121707644029095
"mb58" 0.748111613031641 0.219838198197622 0.316362455387217 0.152616121287988 0.0967769333863132 0.161469009824937
"mb59" 0.78151548630424 0.216111936644454 0.557925945541046 0.162993411969158 0.114029913266089 0.127194054540336
"mb60" 0.851022910306032 0.251234554606801 0.698175121124648 0.197350165660483 0.119638293929075 0.150909815617202
"mb61" 0.813679753104141 0.211759963577335 0.731516820948474 0.166911953788702 0.078579063535668 0.0781706320176287
"mb62" 0.758062507782343 0.209712672315206 0.583684740838694 0.158603078193092 0.101997915266497 0.103301437802035
"mb63" 0.711948865928201 0.198351073871994 0.316918729096653 0.139028651542117 0.085413270180375 0.127397499129227
"mb64" 0.829195710455764 0.201664564991211 0.717943266148576 0.156935407574874 0.0975080112450343 0.0947850872667064
"mb65" 0.684050840676225 0.22052566229786 0.0973790173778024 0.142003574554313 0.062859525988701 0.181829430616665
"mb66" 0.807748444421683 0.23978260521773 0.562833878523042 0.178607230945763 0.108620440781254 0.137711020492962
"mb67" 0.70684044468672 0.204935552627118 0.221451428697273 0.139611673969157 0.0906133132130754 0.126251542773395
"mb68" 0.846549974632166 0.22197183584472 0.666289855758033 0.170052384527826 0.0984336265058037 0.117699568224269
"mb69" 0.792764392404113 0.197952694804004 0.777540006822625 0.156426381364713 0.0771024712669419 0.0619684270251471
"mb70" 0.664030217620384 0.204832587999081 0.0975508614814745 0.129525922436157 0.0648330261757684 0.164258656841654
"mb71" 0.671281473801871 0.209464892998676 0.109960353544212 0.134672351101391 0.0643443520776434 0.170221803028072
"mb72" 0.697051109831766 0.203130843453287 0.266229768754378 0.142397322724851 0.0932189509624142 0.113604104518018
"mb73" 0.803640562385383 0.21005687926644 0.549542122409448 0.166428922917949 0.0798084848410484 0.0761789124126993
"mb74" 0.751377893576511 0.164121560934369 0.780365009607092 0.128136470043906 0.0613027781058935 0.022458568977345
"mb75" 0.747094012730181 0.219049551412839 0.365301351663032 0.152776371520954 0.105047183119159 0.156096200631844
"mb76" 0.713707865168539 0.204153698754421 0.658030583724246 0.155385616681193 0.0749547024833271 0.0666245449067603
"mb77" 0.705275712080819 0.197289541438921 0.196555050437571 0.134595831752016 0.0844246879636759 0.126195580184444
"mb78" 0.789291222166992 0.211109362480983 0.584702343479404 0.160236688786427 0.104628775003147 0.122478995031816
"mb79" 0.793061423464413 0.181059674945063 0.816999783627837 0.144608672055307 0.0697676594345398 0.0422673203878343
"mb80" 0.677779558200755 0.20109124289244 0.11042669573467 0.129080313239605 0.0710450303748286 0.15580604476996
"mb81" 0.741877773007013 0.202473358137883 0.683274065827662 0.154876683785129 0.0738385359028466 0.0659630733977513
"mb82" 0.701762883001211 0.20746893527098 0.138262509273965 0.135118541097047 0.0866206185681995 0.157225592822873
"mb83" 0.65106116753811 0.196351266547908 0.170717746948253 0.127222205136099 0.0779530658910496 0.152056528912631
"mb84" 0.672612779689964 0.212130491308627 0.097388926389373 0.136287673551918 0.0611955138548335 0.172761170673329
"mb85" 0.860109211093548 0.216488170398308 0.792395198200875 0.169982842731469 0.0844355010279 0.0837001657942291
"mb86" 0.667462689104018 0.205437032977197 0.122264370541643 0.13047000948855 0.062154615987339 0.16574025707508
"mb87" 0.64651995700496 0.186577028605986 0.231394155731958 0.124003191812627 0.0747678083060716 0.1350661084804
"mb88" 0.759686405001387 0.204202727776821 0.612933586113154 0.155048914075505 0.0992151227174897 0.0961172930941122
"mb89" 0.734777685920707 0.189119475855076 0.510890836808116 0.13850577999675 0.0968329311575436 0.109209899379366
"mb90" 0.828543776057177 0.191879004325088 0.827049998833754 0.154508398524102 0.0766234526787043 0.0549202878895175
"mb91" 0.764420062695925 0.185152801620297 0.765422734243762 0.147526670553425 0.0698428541076545 0.0463399705182321
"mb92" 0.745718945365588 0.193876934268103 0.585190783736662 0.146687284826547 0.0868307922571105 0.0861954542032946
"mb93" 0.684684549976574 0.186619446525013 0.267811419438434 0.127917538697291 0.0737317759871461 0.120864883422458
"mb94" 0.574766778371524 0.16599256778535 0.687360392610755 0.127554836819016 0.0606716100409661 0.022491271530116
"mb95" 0.659542737093281 0.202893400316939 0.0875363956411238 0.129059460741564 0.0547912030784243 0.162693939957435
"mb96" 0.692533108715502 0.19207847956204 0.147194891021846 0.128946802112593 0.0792114674693172 0.131512212486005
"mb97" 0.782972070331685 0.215073452165335 0.523713904441963 0.158484438744517 0.109636334608978 0.137819404002908
"mb98" 0.845422116527943 0.203103870494097 0.839484557178181 0.163817377537071 0.0819779662642186 0.0680475217372483
"mb99" 0.699460495909627 0.19201465042514 0.176117464848975 0.13178223960169 0.0792568164059456 0.126491567516202
"mb100" 0.672889331629682 0.209964379579874 0.0875363956411238 0.134767995543265 0.0598487730660196 0.170129819452942
"mb101" 0.673507520503421 0.202893108564848 0.194522191073006 0.132704785629454 0.0782749859200196 0.154523028109295
"mb102" 0.808337392998817 0.206551292202183 0.755759056706912 0.162832573245676 0.0795440844898856 0.0720792055232636
"mb103" 0.658774534249697 0.198495091183159 0.0977533581207694 0.127231555452632 0.0648213612877196 0.158083588542199
"mb104" 0.669373924575976 0.198716568880578 0.0858736219528846 0.126794631032799 0.0684301064649439 0.154558232685509
"mb105" 0.730924979295771 0.208470075875998 0.389690467548751 0.147400082556479 0.101073928595128 0.138675187553881
"mb106" 0.681323400807701 0.215521109267505 0.0875095913420424 0.1389869799804 0.0593311141975423 0.176327466773388
"mb107" 0.794909736608464 0.209809836010927 0.721232474630091 0.164945372287577 0.0789044123489133 0.0735414747891645
"mb108" 0.739614051425319 0.200376282747655 0.555890041803968 0.14754844406298 0.0922886534830973 0.0917711391029997
"mb109" 0.658585890470234 0.20198103780654 0.0976503754389108 0.124579005438704 0.0657238207004633 0.159042914667575
"mb110" 0.697908135159477 0.193763608140891 0.138233429814899 0.128419675585097 0.0739270153559491 0.136998285801027
"mb111" 0.742306680694371 0.199332668099724 0.731334962377603 0.157552311356724 0.0776749748429391 0.0636371835672722
"mb112" 0.64966041030837 0.173960270078723 0.267752119383779 0.118566894930089 0.0678970378817253 0.112055131207172
"mb113" 0.716278023543526 0.200955408532592 0.670662416482787 0.152357734797106 0.0722817867047789 0.0638336875130239
"mb114" 0.657164511301278 0.193574556331673 0.170339814880934 0.122445457553983 0.0706956824131482 0.144651189432386
"mb115" 0.656022509551332 0.193833483954389 0.122337196301792 0.12488164776112 0.057946073569064 0.152700550136061
"mb116" 0.655706665348628 0.199880965085298 0.242104336185413 0.134447777006691 0.0878954462343263 0.139810144653543
"tnt1" 0.753957471943296 0.186435816300544 0.559317140394671 0.136686573997289 0.0868363990670922 0.0948883000349775
"tnt2" 0.653537825508459 0.190678503378699 0.110102653955468 0.123847224442936 0.0592478090506315 0.148771149573504
"tnt3" 0.706134407939888 0.201465607156171 0.332754807684578 0.139615436959801 0.0886497547466289 0.122679165224363
"tnt4" 0.890794369843067 0.193294739358329 0.877999855751891 0.160806284506432 0.0769929937278518 0.0565759588407749
"ufb1" 0.708764891308798 0.199157025557718 0.401952169227095 0.141613199784206 0.0907508165760222 0.120336450704214
"ufb2" 0.717527878574602 0.203026329278948 0.365340421702007 0.140687818353459 0.0928178305102068 0.132751426652615
