"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.683449197997941 0.212368276218186 0.105893701394195 0.141972524040132 0.0784184975364173 0.172146336497622
"mb50" 0.807671232876712 0.227235417427515 0.714134377340604 0.185258548793455 0.0860620677511084 0.100565618590069
"mb51" 0.789651715093021 0.25385189959535 0.330782152566358 0.195984259976255 0.130199304961682 0.171670993272438
"mb52" 0.864142077257964 0.237592510888001 0.797487390200068 0.201836024726147 0.099939580355951 0.11243505168042
"mb53" 0.848874990838688 0.209037347596924 0.78806074017113 0.17267372133826 0.110591480585347 0.10663637201182
"mb54" 0.690307794298702 0.205034827422713 0.163764815898104 0.141727307273179 0.0750541149116881 0.161303756094966
"mb55" 0.95070821529745 0.249813121270024 0.941118375943075 0.217717001052714 0.111201710804907 0.127596583562513
"mb56" 0.877646111366774 0.225033351487381 0.846907777451995 0.191394328199098 0.0947465819129007 0.0987798227928373
"mb57" 0.818703198718781 0.22487988449359 0.68058826013257 0.182610162464505 0.117754829669033 0.124237192752437
"mb58" 0.819571536225643 0.231023616558402 0.612204308428481 0.184509932037606 0.10789413316402 0.130629266145146
"mb59" 0.765151108486768 0.187794666271419 0.62217731927919 0.148756771810713 0.103139803613213 0.0983691114758946
"mb60" 0.760025818763506 0.184855620924035 0.549653072926779 0.13997461858173 0.0968012976809649 0.0948252142669643
"mb61" 0.880354190003734 0.245800578167448 0.764531520847921 0.200517134077394 0.0992120439540189 0.122930337843559
"mb62" 0.771060705124981 0.204186912490176 0.540742469070555 0.156613835614438 0.0988187476397453 0.116689535448329
"mb63" 0.75865848884249 0.187446124671657 0.645142965943611 0.147531803814263 0.0927869371015566 0.0820298666707295
"mb64" 0.869535192563081 0.228825959472344 0.717458993975556 0.182506023435311 0.112196849260141 0.128986891400017
"mb65" 0.803881696378138 0.216295599757489 0.623166974265619 0.169654758819472 0.104811430504909 0.114834304573256
"mb66" 0.765650204630784 0.233064608951736 0.226976026038233 0.175354315403215 0.120941266612036 0.158979482939828
"mb67" 0.689081768136524 0.211099098745093 0.105511654283299 0.140643021674124 0.0672186485333422 0.170803605887642
"mb68" 0.699786239654103 0.190853301192109 0.340091665720978 0.135408223471904 0.0933625739621021 0.130284590908369
"mb69" 0.703764527539161 0.20283728186553 0.328534594976458 0.140579145051965 0.0894154161987193 0.138917843024541
"mb70" 0.758510638297872 0.247388148033795 0.428915843986822 0.196649429418661 0.0903234273089718 0.124348527567317
"mb71" 0.716702901975612 0.176897481412808 0.562145435160018 0.134102995432531 0.0746009504206551 0.0699863808615128
"mb72" 0.732036383820659 0.175922414335539 0.539935300270478 0.13673024677962 0.0855727503197913 0.0963135421218974
"mb73" 0.853682579918321 0.196204980058828 0.846965794527616 0.165452197388533 0.0808927466613757 0.0652548832908621
"mb74" 0.672149510581428 0.19776827554645 0.129807657118687 0.131054296505601 0.0794704443541587 0.151401614216723
"mb75" 0.757326661901358 0.189710736995566 0.714134377340604 0.153577332691234 0.0694555669076232 0.057387496757443
"mb76" 0.691338980520649 0.179237764417898 0.316777025379543 0.127274686384806 0.0738837555645847 0.117852721002077
"mb77" 0.620081662954714 0.162147627155476 0.678503908256191 0.129336973557741 0.0569532594331576 0.0250655925005806
"mb78" 0.689882323769772 0.201761946340146 0.153337394280608 0.137621888957781 0.0871088032336446 0.150610607385326
"mb79" 0.728811575076761 0.215646307578675 0.200881402452214 0.15828108276889 0.101848862157934 0.147250402912178
"mb80" 0.744169760927627 0.202494365389473 0.489092667715099 0.15247160597555 0.0925045690537451 0.114284942976012
"mb81" 0.685097052164164 0.199243662145706 0.143089635069409 0.133910815257312 0.0835036441004656 0.149893084163472
"mb82" 0.687922308473216 0.205272211091748 0.117262516803628 0.13760150809577 0.0667146015399503 0.164093840567499
"mb83" 0.710925527959885 0.17823023157189 0.493658635279636 0.132000756890343 0.0872807215302579 0.0989274808668554
