"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.75 0.78143119266055 0.200651276632822 0.749793361383872 0.166948338969729 0.0819595852125591 0.0743265644717053
"mb50" 0.750853939562741 0.792421095407956 0.227459619680407 0.487738491881998 0.175922422461004 0.10261608016862 0.143354466482525
"mb51" 0.894117647058824 0.910047621847257 0.247518302188942 0.894042768799223 0.215336965602456 0.10906851822047 0.129233651681085
"mb52" 0.855987715993396 0.844411800710001 0.233902963896194 0.695919290234549 0.190372494821772 0.113627373201587 0.136641077281086
"mb53" 0.900129901521804 0.896050399806155 0.216696296773332 0.863982610926076 0.185001971062815 0.120777835602094 0.117070784670471
"mb54" 0.710878032896214 0.72895893426751 0.202973324107808 0.358225841041428 0.138594874556914 0.0877238937879835 0.143157587415587
"mb55" 0.694979927973739 0.743574812736561 0.210766232253408 0.486164059079324 0.15942073310478 0.0979768980818978 0.124758403516766
"mb56" 0.783132530120482 0.8678406154216 0.249602999857783 0.782996891246695 0.211730509316399 0.102745098222547 0.130916061288839
"mb57" 0.825121244957767 0.885995974355151 0.263973836066151 0.727690339902547 0.217454502642616 0.138681591851682 0.170488185560842
"mb58" 0.752941176470588 0.794079701834862 0.216424934052442 0.752859875682872 0.185117172861125 0.0866970940754554 0.0922369177931671
"mb59" 0.825581395348837 0.857320099255583 0.189083011639367 0.825375171800242 0.159494494614156 0.0769300496148661 0.0619153094508166
"mb60" 0.821591141448073 0.789394541224536 0.206172239106856 0.644898861887886 0.160835411473967 0.0942162618713764 0.104501102861583
"mb61" 0.788235294117647 0.828398333964407 0.20664684646169 0.785524874419658 0.17193853900551 0.0848611361421083 0.0812360261484731
"mb62" 0.666666666666667 0.67704989154013 0.17650787818515 0.408079245656439 0.140244594895163 0.063071549366312 0.0420583436722474
"mb63" 0.599367252563061 0.654818542609975 0.201400519033633 0.115740793116268 0.130010053960199 0.0676546117116846 0.160489512154222
"mb64" 0.630356060284446 0.6386276709643 0.191217316762438 0.104717827970328 0.121305367522415 0.0624975308774311 0.150036338566035
"mb65" 0.714352733315405 0.767962765441676 0.221370190553994 0.544188304404187 0.16928608176316 0.0991038406165408 0.122026765964811
"mb66" 0.613560965079494 0.599298037610505 0.165756816987598 0.0932412088315256 0.1067739487043 0.0645040695252173 0.114356895191198
"mb67" 0.784739553726095 0.795752569450124 0.196071846897725 0.639234112189911 0.155283215964065 0.0906130710457128 0.0942477508091237
"mb68" 0.804880486047623 0.755175904057909 0.187546514455191 0.61214121113067 0.141725503870205 0.0829155633093957 0.0841629838869118
"mb69" 0.61719346702873 0.668302810131649 0.208991407338249 0.161909761485765 0.135515800808505 0.0765587635125452 0.167646511946466
"mb70" 0.774250496808876 0.771319020649486 0.193472380603051 0.552502525712657 0.148463179529401 0.0933481771675562 0.105856553142124
"mb71" 0.602837298436051 0.661323265310961 0.206162456464554 0.127134796498922 0.134034717085321 0.0747768303024134 0.165140313130041
"mb72" 0.69047619047619 0.717508582638548 0.179015288020345 0.690105643085879 0.142329637130534 0.0671153799103223 0.048785312571789
"mb73" 0.599084884877205 0.648276456691556 0.198204214770734 0.115726786279564 0.125711291396408 0.0634214244849195 0.157380066532574
"mb74" 0.916666666666667 0.906796875 0.197834516414055 0.916636956090188 0.173826092410282 0.0865488180746671 0.0708534022102613
"mb75" 0.676172366459386 0.733924924022563 0.208549063119397 0.357717179820739 0.144074994358797 0.102742735039647 0.149186123864464
"mb76" 0.7060306350166 0.687035382657895 0.189062946275943 0.372061734770245 0.130396281000839 0.084073273896294 0.123727764809581
"mb77" 0.744186046511628 0.789081122645137 0.192261454917768 0.74400349848042 0.159080408275554 0.0750153471710549 0.065592195028556
"mb78" 0.779820546921654 0.765690496151208 0.195796582451804 0.510188939359847 0.145346060524573 0.0916535686531546 0.118433688812057
"mb79" 0.732717112270582 0.707603331495072 0.196196231638862 0.387887487257617 0.136484341106875 0.0868994867601215 0.125950509304022
"mb80" 0.605465444377551 0.593865915122406 0.162009062220371 0.0933987782355337 0.105529806149495 0.055856855906993 0.11362246425991
"mb81" 0.759036144578313 0.680769982411569 0.157006751043696 0.758798047810694 0.127215097894566 0.0608882319114168 0.0231401974350299
"mb82" 0.662017166926579 0.708925253393334 0.214421193927928 0.264933575612641 0.138957593026473 0.0934526118448132 0.16406717681637
