"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.906292101192555 0.277846511630714 0.833324777159198 0.267410503827444 0.131230069164314 0.135976496140369
"mb50" 0.869285254346426 0.205028350783959 0.843693850107237 0.197842435726279 0.0937040295173913 0.0488529088521586
"mb51" 0.850786880423592 0.194421216854786 0.842107993417887 0.184988800507691 0.0878563512080721 0.0356909475974217
"mb52" 0.600487146825974 0.185618819540254 0.0104322967579287 0.137865389796143 0.0711573513903398 0.1418366244327
"mb53" 0.912509190211112 0.264550281916903 0.833427451248822 0.25515534104997 0.121794850288021 0.120068167550292
"mb54" 0.725742235664333 0.229529981883354 0.145975622686349 0.184374948460286 0.0991645114616378 0.163970315585008
"mb55" 0.793764666443178 0.251042594708796 0.684215986835773 0.225824072446128 0.10613304557931 0.103517369160389
"mb56" 0.776428563989877 0.247893726861312 0.447859536180732 0.214462263835364 0.134597463371429 0.150123111030852
"mb57" 0.723513571873134 0.229515056679372 0.177014645803784 0.184880529925183 0.119393935878333 0.16399354818704
"mb58" 0.776167607155721 0.220779902817819 0.520809930483674 0.193448791358799 0.122492197815609 0.119484605211753
"mb59" 0.759843834483636 0.209971482261171 0.489541879271543 0.181784672628008 0.118870131723619 0.120449644435513
"mb60" 0.643911839544978 0.210167583003168 0.0409728675229464 0.158253761178051 0.0877030582224674 0.154230912323467
"mb61" 0.978783187109353 0.236410309215644 0.968738770021447 0.234982438886689 0.117240010852744 0.0863999817650791
"mb62" 0.801678848789402 0.268166800477192 0.499970355343724 0.23838696751375 0.131044262476969 0.154911576699628
"mb63" 0.847121557258232 0.282324631750678 0.739592424268352 0.265158583188709 0.127437866760763 0.141334361329795
"mb64" 0.867990367130289 0.278328275511494 0.789460032910567 0.265524132355589 0.131887088941602 0.136361542907555
"mb65" 0.839411050715077 0.26986033909551 0.715752888200318 0.252510548183349 0.11993238216437 0.12548092272288
"mb66" 0.649047878229124 0.210028284141941 0.0715706500373034 0.164204127040508 0.0869377522365056 0.154142455198371
"mb67" 0.831964198136341 0.242672788428935 0.736812072403246 0.221347618523993 0.107253383874104 0.092593155961513
"mb68" 0.9081562350946 0.273613935537497 0.799989625012031 0.261022119837281 0.124963882020177 0.130487703802883
"mb69" 0.787964371062351 0.250666778434488 0.281585830553989 0.207885083677036 0.137503745889741 0.174658228076159
