"ci" "cci" "ri" "rc" "rhi" "rhiBar" "rci"
"1" NA NA NA NA NA NA NA
"2" 1 NA NA NA NA NA NA
"3" 0.333333333333333 0 0 0 1 1.02217529039071 -0.0226754577714043
"4" 1 1 1 1 0 0 1
"5" NA NA NA NA NA NA NA
"6" 1 1 1 1 0 0 1
"7" NA NA NA NA NA NA NA
"8" 1 NA NA NA NA NA NA
"9" 1 1 1 1 0 0 1
"10" 1 1 1 1 0 0 1
"11" 0.666666666666667 0.67226952785023 0.666666666666667 0.444444444444444 0.333333333333333 0.340831629175187 0.664707161124584
"12" NA NA NA NA NA NA NA
"13" 1 NA NA NA NA NA NA
"14" 1 1 1 1 0 0 1
"15" 1 1 1 1 0 0 1
"16" 1 NA NA NA NA NA NA
"17" 0.375 0.767182488974139 0.736842105263158 0.276315789473684 0.294117647058824 0.3014590618594 0.727078502415673
"18" 1 1 1 1 0 0 1
"19" NA NA NA NA NA NA NA
"20" 1 NA NA NA NA NA NA
"21" 0.333333333333333 0.613695824474068 0.6 0.2 0.4 0.415973377703827 0.597347498686811
"22" 0.75 0.503759540196178 0.5 0.375 0.5 0.512557662737058 0.491106998600832
"23" NA NA NA NA NA NA NA
"24" 0.5 0.758398624801295 0.75 0.375 0.25 0.259000259000259 0.749293046341853
"25" 0.4 0.71844683290426 0.7 0.28 0.333333333333333 0.329380764163373 0.688241098892478
"26" NA NA NA NA NA NA NA
"27" 0.6 0 0 0 1 1.02511532547412 -0.025496795646908
"28" 0.666666666666667 0.924587675560558 0.916666666666667 0.611111111111111 0.0909090909090909 0.0941708258781429 0.913621195229829
"29" 0.5 0.639620207127108 0.625 0.3125 0.375 0.387496770860243 0.626820838042392
"30" 0.75 0.90691403560015 0.9 0.675 0.1 0.105507491031863 0.901354113886429
"31" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"32" 0.666666666666667 0.840399079517119 0.833333333333333 0.555555555555556 0.166666666666667 0.171556013038257 0.835464664425037
"33" 0.428571428571429 0.619017822449634 0.6 0.257142857142857 0.4 0.419771224682548 0.598595082074904
"34" 0.75 0.671692239576498 0.666666666666667 0.5 0.333333333333333 0.339904826648538 0.665070464515628
"35" 0.5 0.639620207127108 0.625 0.3125 0.375 0.387496770860243 0.626820838042392
"36" 0.666666666666667 0.963098862087121 0.954545454545455 0.636363636363636 0.0666666666666667 0.0668404518414545 0.941304667431033
"37" 0.6 0.725280485996835 0.714285714285714 0.428571428571429 0.285714285714286 0.299985000749962 0.710780331550058
"38" 0.428571428571429 0.619017822449634 0.6 0.257142857142857 0.4 0.415541242468315 0.602964094633087
"39" 0.3 0.706220838449455 0.666666666666667 0.2 0.4375 0.434701608395951 0.59829345273727
"40" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"41" 0.333333333333333 0.629585839130731 0.6 0.2 0.428571428571429 0.436268450519887 0.591421494518374
"42" 0.3 0.688432295860114 0.65 0.195 0.466666666666667 0.486144871171609 0.543686098432329
"43" 0.25 0.568173117167973 0.538461538461538 0.134615384615385 0.5 0.49771878888428 0.529906271401586
"44" 0.5 0.853420436278798 0.833333333333333 0.416666666666667 0.2 0.198268455488732 0.82088225328887
"45" 0.75 0.839665029708892 0.833333333333333 0.625 0.166666666666667 0.171556013038257 0.834735652100548
"46" 0.666666666666667 0.756321541315388 0.75 0.5 0.25 0.258464719565779 0.747783083784163
"47" 0.333333333333333 0.806213582674898 0.777777777777778 0.259259259259259 0.25 0.25416190113102 0.772880179741029
"48" 0.6 0.76157630769011 0.75 0.45 0.25 0.265322366675511 0.746002984791242
"49" 0.25 0.567100681717745 0.526315789473684 0.131578947368421 0.529411764705882 0.528014080375477 0.508321820048163
"50" 0.230769230769231 0.670371327196004 0.615384615384615 0.142011834319527 0.476190476190476 0.48854365137525 0.556231688109682
"51" 0.375 0.715534139057445 0.6875 0.2578125 0.333333333333333 0.338363673276037 0.688512433799574
"52" 0.375 0.693765926363347 0.666666666666667 0.25 0.357142857142857 0.362818373122415 0.662984946755256
"53" 0.230769230769231 0.686110792772932 0.62962962962963 0.145299145299145 0.476190476190476 0.472925041380941 0.573328054708814
"54" 0.333333333333333 0.679169202776514 0.647058823529412 0.215686274509804 0.375 0.388198757763975 0.642012347164251
"55" 0.272727272727273 0.45728764645753 0.428571428571429 0.116883116883117 0.615384615384615 0.604047115675023 0.422421282015174
"56" 0.5 0.787486403615741 0.769230769230769 0.384615384615385 0.25 0.252206809583859 0.7654819439283
"57" 0.285714285714286 0.755628874546434 0.722222222222222 0.206349206349206 0.333333333333333 0.345948937936761 0.68391428462022
"58" 0.230769230769231 0.483024013346963 0.444444444444444 0.102564102564103 0.588235294117647 0.601829561868079 0.432574208059228
"59" 0.5 0.610259601587092 0.6 0.3 0.4 0.413223140495868 0.596805570163159
"60" 0.3 0.763340540099109 0.72 0.216 0.35 0.353214249672015 0.685004202020202
"61" 0.3 0.722413809413909 0.681818181818182 0.204545454545455 0.388888888888889 0.385314030935212 0.650806280043195
"62" 0.375 0.79349035427118 0.761904761904762 0.285714285714286 0.294117647058824 0.298293759694547 0.730389288518666
"63" 0.333333333333333 0.718388937069626 0.684210526315789 0.228070175438597 0.352941176470588 0.357440724413201 0.674424305112986
"64" 0.3 0.564353572571995 0.533333333333333 0.16 0.5 0.508979858939868 0.519468246518349
"65" 0.3 0.688432295860114 0.65 0.195 0.388888888888889 0.393457366083975 0.642140085702985
"66" 0.3 0.528990564564352 0.5 0.15 0.538461538461538 0.542551542396528 0.483882268655848
"67" 0.3 0.763340540099109 0.72 0.216 0.35 0.344980533241339 0.693787267797881
"68" 0.157894736842105 0.415192316487666 0.36 0.0568421052631579 0.8 0.785160467170478 0.247203355910749
"69" 0.333333333333333 0.82626773953689 0.785714285714286 0.261904761904762 0.272727272727273 0.26824034334764 0.768740169323839
