"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.964251819044606 0.260493428381978 0.941104552847879 0.229065461624828 0.116325201247961 0.143421198067355
"mb50" 0.884298326910882 0.28589924381747 0.776255331517694 0.243905239633646 0.121208472184207 0.173363463520462
"mb51" 0.824801212669202 0.188828448371179 0.755506603598043 0.154682254130383 0.0971484849212404 0.086664442131207
"mb52" 0.873647162340519 0.23989281688796 0.695911769966926 0.19464374876496 0.114200383953533 0.143894108326363
"mb53" 0.765865307306867 0.241137289421085 0.17335289841259 0.165316496952763 0.0990146477369982 0.203835488841842
"mb54" 0.846389713155292 0.229951022731261 0.615993897572543 0.178225742246316 0.117972475996949 0.14709932783481
"mb55" 0.810589262124929 0.258297672037165 0.467391993943876 0.194668260197363 0.119658302265823 0.178042116637004
"mb56" 0.903201615229305 0.253334295818352 0.825465095213344 0.213854038741518 0.106096955041792 0.136277619052828
"mb57" 0.88305960767097 0.282681151103524 0.672739291426461 0.229907241425459 0.138960723103508 0.191830296035998
"mb58" 0.814121555453633 0.234382550243171 0.523035269725331 0.180933570940773 0.115389974598507 0.152007655623301
"mb59" 0.759965929449317 0.229112858869588 0.161618617727769 0.158845117308477 0.0777063767352293 0.190691854132131
"mb60" 0.793504297590531 0.183038515641029 0.813764424900016 0.156733322191719 0.0765443382307249 0.0549613910738792
"mb61" 0.770809351804073 0.215814365013245 0.321563778087721 0.155344155999939 0.100046661280633 0.130414425327436
"mb62" 0.836485500033181 0.222905150024738 0.743684277751566 0.182955708448101 0.0872949831655653 0.0982801012003954
"mb63" 0.850096578366446 0.222318863191074 0.6858974455861 0.178796689929585 0.110882171420265 0.124372848745524
"mb64" 0.734036376348342 0.22219782468249 0.139335665756491 0.151862489799509 0.0900632852983487 0.183729026555604
"mb65" 0.748825265952801 0.204336516103254 0.302942346134254 0.144761974374407 0.0980130960257518 0.127654418222993
"mb66" 0.836093371504074 0.243726549062886 0.616091039713943 0.192212452135413 0.11606987232381 0.148476752141977
"mb67" 0.824167371740635 0.212256388295514 0.764636365416373 0.177071156152456 0.0828797685332307 0.0881155327566316
"mb68" 0.749208368341663 0.217093817374507 0.185088972377166 0.147421887844617 0.0760131448250503 0.175667450718974
