"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" NA 0.934861049566373 0.248435761151938 0.928550077420933 0.213857955804015 0.105967570639147 0.125318132898011
"mb50" NA 0.80672590044903 0.221649774672092 0.678360260265754 0.17588074285014 0.109579384477232 0.120555448499473
"mb51" NA 0.810224347186466 0.225475482544108 0.671015517790088 0.178373760524316 0.10810297250229 0.12350943414259
"mb52" NA 0.895354599754819 0.220102100137721 0.832271309364976 0.179559533875058 0.117949533825068 0.118483317748917
"mb53" NA 0.8752822014766 0.236153608198446 0.833146510974795 0.197989706258386 0.100222571631389 0.111023976893651
"mb54" NA 0.732751372093379 0.18407504761276 0.543129868995889 0.138371947160135 0.089844647631082 0.0937571376459389
"mb55" NA 0.844826245821348 0.194686712458354 0.829103312133321 0.160535049064808 0.0798328259751965 0.0611483011828904
"mb56" NA 0.706877377695585 0.227282379516174 0.143281085736436 0.145872610062522 0.0641851203273711 0.189113701159699
"mb57" NA 0.836295507596544 0.24850803122349 0.627092497948166 0.19845708273961 0.122976933436644 0.150695938504586
"mb58" NA 0.757652060583822 0.2170006225786 0.347902799856935 0.163922676479789 0.10682520751628 0.130458272683278
"mb59" NA 0.744524274102885 0.239546837688009 0.295918534644091 0.167457762099251 0.108274442369541 0.183199718305844
"mb60" NA 0.828014283635387 0.246798382934897 0.556556860670646 0.189679788443573 0.123143700528541 0.164013434163686
"mb61" NA 0.761720527992717 0.204764474154597 0.687229030344178 0.159846819649017 0.0772470169129669 0.0707711626148513
"mb62" NA 0.788812944622681 0.208331981672396 0.722610541024788 0.163343388354589 0.0809567054150417 0.0774770268660818
"mb63" NA 0.787058152793615 0.192673669795524 0.642462534649918 0.146042870140437 0.0835511425655388 0.0878158452615211
"mb64" NA 0.809325640783127 0.17532383910694 0.809487779539179 0.14121892853083 0.0673508557748089 0.0402293684568636
"mb65" NA 0.814373980260518 0.214826694957226 0.666370705728904 0.16593548131985 0.0959246310723035 0.112846167915447
"mb66" NA 0.873866568374493 0.2052938475526 0.855275064882498 0.169202538453884 0.084943143660512 0.0741046506897748
"mb67" NA 0.806263306091615 0.216815266299142 0.740579947100285 0.171719232939061 0.0828451821939155 0.0872322855679076
"mb68" NA 0.708617152192484 0.228117937028119 0.155013230851404 0.150583756327581 0.0692223947566692 0.189432800631214
"mb69" NA 0.710392843438721 0.228839986494124 0.143267430289959 0.149124263297553 0.0652311298597551 0.190520230128435
"mb70" NA 0.791033676062847 0.240611821709668 0.449562948702122 0.179596556532445 0.113124135453199 0.16750018481027
"mb71" NA 0.678071460466428 0.208527010395112 0.155039332114809 0.135733876651331 0.067602625804199 0.16630791692809
"mb72" NA 0.692579706838533 0.184589761891734 0.475814186550207 0.138380754451933 0.0835425908208797 0.094868323349109
"mb73" NA 0.650465067126722 0.180866112500195 0.119632819486421 0.118950266770419 0.0612615515171261 0.13489334055779
"mb74" NA 0.758250984951237 0.22047880242572 0.518597684171049 0.175197992881596 0.0811499830021575 0.0917963208161583
"mb75" NA 0.758981285507408 0.199561625490242 0.53549949892535 0.147174217061333 0.10259513226276 0.111487575068275
"mb76" NA 0.669175796202365 0.181997411284586 0.297266911178744 0.126059128197227 0.0811368636205998 0.121367921854531
"mb77" NA 0.645686040200834 0.179132157921828 0.155536160048 0.119274425243044 0.0703981166006172 0.127712951033156
"mb78" NA 0.665934380199667 0.179390487538131 0.191769135168293 0.124088037457535 0.0670892176008547 0.10801091197434
"mb79" NA 0.702828420231914 0.225097990023761 0.1550169678656 0.147564462452114 0.067755243857615 0.185825411808379
"mb80" NA 0.6502397971489 0.182797063070903 0.157361787345143 0.120727327685889 0.0723786164745238 0.133699385729155
"mb81" NA 0.737134014187574 0.231921794054302 0.307465505653205 0.162608119115592 0.102259057594312 0.17057681992575
"mb82" NA 0.777464391482161 0.18739719325363 0.683249566326751 0.147130137184421 0.0908561586259577 0.0812779635588788
"mb83" NA 0.747532942756486 0.189493949774974 0.546069662462863 0.139968484114255 0.09499096950285 0.111246287164988
"mb84" NA 0.842723730595584 0.239001629419696 0.719404312650727 0.191159883249438 0.0917994177063286 0.111659349991663
"mb85" NA 0.849572243346008 0.197779110281973 0.797450907472558 0.157143466545461 0.0753102156549705 0.0663631538372904
"mb86" NA 0.783868312757202 0.188213866394844 0.725942269318899 0.146954721551139 0.0700820280446571 0.0552309778368684
"mb87" NA 0.681515433018421 0.188229480968523 0.21816885809271 0.133806890203675 0.0691764355918557 0.109756244901491
"mb88" NA 0.799104210212004 0.198959192435331 0.61730625711636 0.151576847220317 0.099856269042705 0.110611028880466
"mb89" NA 0.738359532146316 0.183465993406329 0.761932785252591 0.148936910032035 0.0714248823728413 0.0497053311979022
"mb90" NA 0.605813048495746 0.177540289243589 0.295813842587071 0.114840700726272 0.0690045990365747 0.111799211401731
"mb91" NA 0.578652296691624 0.16200588678782 0.224582422150739 0.101157640013245 0.0605422145603533 0.109471318338494
"mb92" NA 0.688717178899687 0.213301633419825 0.108674555886913 0.136687774284701 0.0575879720123929 0.174580031021301
"mb93" NA 0.700780781855095 0.18944625227814 0.21816885809271 0.136363768764449 0.0698733098789353 0.111062787799636
"mb94" NA 0.645128630232772 0.179659178209416 0.108941329997569 0.118435223836939 0.0594468851688783 0.134846336435521
"mb95" NA 0.774967469095641 0.191326227079318 0.737860375677842 0.151100870895597 0.0720947101228238 0.0588531904354386
"mb96" NA 0.66145535239128 0.200126986488512 0.107460765863271 0.127516460631782 0.0539713752053512 0.160612580094232
"mb97" NA 0.62144364478722 0.184582592189852 0.317590705610571 0.119664193945765 0.0666717744494961 0.113424444315835
"mb98" NA 0.697600587090393 0.185859171445234 0.487887315469886 0.133738036938188 0.0761932599395981 0.0962774089158815
"mb99" NA 0.649220865643225 0.19105897868955 0.108750436036286 0.122630700970795 0.0534465218982879 0.150855238977794
"mb100" NA 0.631864723939279 0.171127546578931 0.332685918472965 0.113384450056324 0.06387330595485 0.105126390079958
"mb101" NA 0.848019064641049 0.235650446622713 0.76829508316771 0.192869149646459 0.0935929092074095 0.110438389815705
"mb102" NA 0.695632695308276 0.187322122101993 0.435709282742303 0.134768006617603 0.0675464877010511 0.0971055580923804
"mb103" NA 0.770810498112288 0.190068685990177 0.617457914246674 0.145379497586801 0.094009833134917 0.100739973242206
"mb104" NA 0.703799041363394 0.162395313996433 0.761755303970321 0.132409214051495 0.0620987181623674 0.0251829547266598
"mb105" NA 0.784629275547058 0.195869529396757 0.6904160740085 0.154502094933257 0.0986388607694194 0.0914267921363436
"mb106" NA 0.770819435179008 0.191949503008416 0.606837643839031 0.143188075811383 0.0906988812429313 0.0869976216462691
