"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.822784810126582 0.8926296633303 0.247958223563678 0.822743220418219 0.194602497683685 0.0956806232631146 0.1167672356044
"mb50" 0.858974358974359 0.914126768065337 0.261692163233574 0.858849139780586 0.207277875691198 0.103173228508695 0.132310962157423
"mb51" 0.746835443037975 0.820678949854896 0.250811793835274 0.746660105543973 0.196062837439409 0.0977921784955757 0.120118600965141
"mb52" 0.776988790256407 0.829100201331888 0.241967951494089 0.641049375159526 0.181401760456109 0.112196700152354 0.137156288285335
"mb53" 0.81222743171451 0.834518906776488 0.241574539059152 0.643475961462747 0.179554152614024 0.107275058980475 0.136779138567349
"mb54" 0.670886075949367 0.807028284559814 0.261017977983619 0.506804629738882 0.196388661476574 0.0945905922062739 0.13210521729647
"mb55" 0.79746835443038 0.857244871461958 0.222257325055971 0.797278148104447 0.171165574434173 0.0829430567609403 0.0865829076220103
"mb56" 0.819288692041692 0.812754586632776 0.209142257024681 0.732663003672357 0.159540430201356 0.0975801806553996 0.0998831120762642
"mb57" 0.720552007295883 0.747657916023237 0.194458894594122 0.477150461536375 0.134079899724132 0.0820098543909027 0.100017016899245
"mb58" 0.606968094520257 0.734868569267657 0.234929715731034 0.0883380170380981 0.153920285703349 0.0748531702891982 0.195451660296445
"mb59" 0.848101265822785 0.854905049444299 0.212380540261946 0.846145115158584 0.16859043879475 0.0802024450108104 0.0749831531797702
"mb60" 0.716041101459355 0.776923076923077 0.227724940262744 0.315406137289127 0.154733165061181 0.0968198040616722 0.167081645093415
"mb61" 0.810126582278481 0.84501655020228 0.208304877164848 0.809948263847919 0.161313442281008 0.0791669300273448 0.0701965052876107
"mb62" 0.674367404154348 0.700011200403215 0.230582976395288 0.215450061793302 0.157020570158862 0.0885734372891676 0.140775699033064
"mb63" 0.610746676777028 0.73309422606614 0.231381007400292 0.0882520839947941 0.151820050298692 0.067175581190605 0.191091714687348
"mb64" 0.632911392405063 0.716842268360707 0.221688242714999 0.632566643439311 0.163197756508425 0.0778579685766083 0.0859145509097448
"mb65" 0.682560629074601 0.693351779046705 0.197368519111164 0.290036101433747 0.125704030149082 0.0796302585638125 0.122996903021012
"mb66" 0.606507827768086 0.726097247048057 0.225943360225775 0.100919080686878 0.149179750416363 0.0657112391914569 0.184871150157206
"mb67" 0.766233766233766 0.798760371888434 0.185367350244179 0.766166555799412 0.137642002559809 0.0634643473299681 0.0419207689880111
"mb68" 0.738777883465605 0.744540360442223 0.215926388999697 0.457196056501601 0.151886904913121 0.0908508906938443 0.124201328867981
"mb69" 0.706679209266475 0.741160036087425 0.212981595468856 0.538061208838081 0.151355776183074 0.0911701702828122 0.104042791565555
"mb70" 0.778868476718286 0.801586596809046 0.203922829062007 0.617994425677079 0.145738044448919 0.0910805836362965 0.0938162778369185
"mb71" 0.69196332865558 0.736033172080166 0.192154243799606 0.569443438134105 0.140204594395529 0.082189970271896 0.0808060701450035
"mb72" 0.752689389462079 0.753304181201788 0.18774307528584 0.499220799073423 0.129770321490436 0.0825266311744518 0.0922435370036288
"mb73" 0.611099253496517 0.71036315323295 0.220597327162018 0.050849002131913 0.137369168158466 0.0737150749335871 0.180377024204269
"mb74" 0.721518987341772 0.791593986211479 0.20590691826238 0.717824714440435 0.155353249162919 0.0726895620211076 0.0673802310636303
"mb75" 0.660303099393218 0.667449184082451 0.210043238702679 0.141189309113388 0.136772321918073 0.0688095487513987 0.129000407117934
"mb76" 0.727481815887818 0.756343698680934 0.198416895682155 0.558196854753956 0.143372755025398 0.0823323224049609 0.0875934744855459
"mb77" 0.784604397456928 0.80723418370424 0.211416971872359 0.56797927240968 0.149155072916359 0.10058916182029 0.119139459448882
"mb78" 0.760338440716153 0.789979406489328 0.22731058813895 0.404012810400925 0.156846190973023 0.102305311098721 0.161906481430365
"mb79" 0.609211248896718 0.733921826244047 0.230753779210378 0.0882963815010435 0.150605157196117 0.0607703775928858 0.190802185972873
"mb80" 0.721518987341772 0.717442356959863 0.170461243109389 0.721319874057029 0.127494270841628 0.0557511032896346 0.0257511851353612
"mb81" 0.765179237393387 0.792989617982058 0.225511474869123 0.454603362293533 0.155478655278406 0.105593636919925 0.153858962110088
"mb82" 0.596704409385251 0.615372498478502 0.170782987386934 0.0636164674299288 0.102721938810197 0.0692063401067958 0.118059987604099
"mb83" 0.794871794871795 0.819050929949591 0.191838765948659 0.794766144558067 0.145934872498692 0.0703742095322307 0.0493667694359991
"mb84" 0.65073794430396 0.651132168348511 0.168827816510646 0.274046039218239 0.113337518666654 0.0682306201425071 0.103519829054606
"mb85" 0.76675678000402 0.76842308683329 0.18733245852463 0.602842942017458 0.135348086282872 0.0824132411474661 0.074083882836368
"mb86" 0.769271065375447 0.79487895716946 0.215483445290736 0.50485647077748 0.149132911633161 0.101466421536091 0.134815812372797
"mb87" 0.603649432641013 0.695260596421654 0.21156090156866 0.0508511113954423 0.130935626671157 0.0741990185646539 0.170613210616297
"mb88" 0.595887179865318 0.677955776364954 0.199899604576367 0.038140899499995 0.12327611262362 0.0698217617944936 0.157961266900139
"mb89" 0.609614883056764 0.651314383158603 0.170824046730133 0.187438121107102 0.111056440070092 0.0656318664565136 0.115821591394587
"mb90" 0.638116037323947 0.6335394974934 0.174380770688873 0.101840395137298 0.108876109979275 0.0658108414981762 0.113468692468957
"mb91" 0.645043709527854 0.715892798309494 0.210517113292538 0.189150982345888 0.14036854517177 0.0801726928856229 0.158174027163621
"mb92" 0.601398267818074 0.690627308323743 0.206340697428927 0.0381383335465818 0.128450682355502 0.0621418653393974 0.165121894470262
"mb93" 0.640061221700036 0.625226853692925 0.18450346690855 0.115749720105063 0.118408235459545 0.0589932717498113 0.109085168550847
