"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.786963730569948 0.22069460713139 0.664980196943546 0.20179565382803 0.125203347223293 0.104247775457971
"mb50" 0.66894648406282 0.217597829941287 0.0416786026159749 0.167817829353866 0.0928803600253604 0.164638682227732
"mb51" 0.763229397199641 0.232165019470026 0.448962356984254 0.202318429322131 0.134237059186995 0.136157377168807
"mb52" 0.758621709261869 0.254197270585656 0.395080720830482 0.222001297064174 0.143382653897277 0.160738238999865
"mb53" 0.697100688730962 0.22647360103096 0.12496939377898 0.17998700353694 0.108326824311232 0.163548914641667
"mb54" 0.889124770819261 0.285608162315977 0.797723920992907 0.273756948174306 0.133327734592904 0.14914664301636
"mb55" 0.92793115812119 0.23181651040982 0.894654896046983 0.223516309905095 0.111637842673214 0.0856017109485629
"mb56" 0.848344797936371 0.246745624841567 0.760373866020662 0.236669098023044 0.111389579047505 0.103677180294846
"mb57" 0.756680381117367 0.231590549313828 0.267938895321824 0.193236731416432 0.133188428312182 0.163685641779517
"mb58" 0.788353669114671 0.236944416958343 0.729252267958676 0.223714292913356 0.104231560610099 0.0920143920308407
"mb59" 0.710210166952363 0.207148033732011 0.425881755811718 0.180797071225191 0.122109351950411 0.120873226406137
"mb60" 0.790610819592538 0.24522449530402 0.516376976461614 0.21651356212386 0.127224829148429 0.132258715000203
"mb61" 0.746097158506769 0.227930264204309 0.184784116436327 0.187017191110832 0.106250129565992 0.165081107220421
"mb62" 0.811289401256686 0.260629724419446 0.708247732041324 0.242048306810752 0.115984535995013 0.12019833927264
"mb63" 0.63837103264795 0.204160339953292 0.0203780538628337 0.157731820324284 0.0655149183579372 0.162693175710808
"mb64" 0.883612794138368 0.21267836908794 0.851006917072468 0.204046057174033 0.0963021487568874 0.0622301679903849
"mb65" 0.899100212926712 0.217984628712744 0.842034243240719 0.208682847448394 0.0996211184967543 0.0691811728434095
"mb66" 0.769449281671746 0.25140469733496 0.416380155527505 0.213533087119419 0.144354530747246 0.157951939135557
"mb67" 0.647998998683051 0.197873167382527 0.0829214643527693 0.161645922913924 0.0884657517498564 0.143570887155443
"mb68" 0.998275591785546 0.254664345160317 0.989574773204132 0.253001495221066 0.127673883730495 0.113099933031018
"mb69" 0.724476821445302 0.226269390690857 0.175811297192957 0.182180546561458 0.101494678015218 0.163321617250864
"mb70" 0.795045862051096 0.235059323391863 0.768396468814095 0.226697992290082 0.107470504534116 0.089004781594279
"mb71" 0.742964219695627 0.235626029092366 0.269228177856226 0.195008408659572 0.123591435644917 0.161426980484845
"mb72" 0.711781013748143 0.231297324290417 0.238481928331663 0.191803870108019 0.119662114198739 0.1565819651413
