"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.786636791517 0.782975703114108 0.209253406733362 0.555126573356869 0.164329101691949 0.106084625191178 0.123354475725832
"mb50" 0.833333333333333 0.91559879235156 0.240133244912312 0.833215687136414 0.200028651551555 0.0999936445251429 0.115530290909284
"mb51" 0.667392908242042 0.634587299189203 0.188620875286561 0.271156850295579 0.136214139408788 0.0872650413915647 0.100015096689434
"mb52" 0.768177936659786 0.779889810384962 0.225447576043481 0.463121879843135 0.17764842448585 0.102656828834926 0.141267987770021
"mb53" 0.71702279943645 0.718621683275303 0.188837698134348 0.590584287569921 0.14880490389097 0.0913432239735335 0.0846953520732605
"mb54" 0.698795180722892 0.714265994892677 0.197823958543793 0.542684063546755 0.161189051037726 0.0780628709831159 0.0649595736983425
"mb55" 0.764740003340496 0.799329926474422 0.222538888079068 0.556770447450235 0.172599133155634 0.117095532249672 0.138048282440759
"mb56" 0.808851739588442 0.853175688469064 0.24672440102043 0.672560633756389 0.202354517236036 0.130647107538126 0.149897241350849
"mb57" 0.838948160324043 0.825662482566248 0.217919274850303 0.744045466631229 0.182634769924353 0.114295803282117 0.117722800568465
"mb58" 0.906976744186046 0.944578980142531 0.214804190179176 0.906927273816974 0.186052921753802 0.092335830067729 0.0877154593586855
"mb59" 0.76060698432689 0.774661882417886 0.20031673881183 0.578882891553532 0.151669576293836 0.0909663682353909 0.0976066930318675
"mb60" 0.785714285714286 0.837048743969389 0.196504293310238 0.785546251491896 0.165245673191496 0.077222854700198 0.0653174212022639
"mb61" 0.811770805544908 0.809513825186738 0.19815351523534 0.662608398909865 0.157006368359983 0.0887267563794421 0.0954247455506934
"mb62" 0.735936452590689 0.720245463496976 0.2040289730684 0.382212800184329 0.146060955164141 0.0883377180696327 0.144734188197243
"mb63" 0.692134346664216 0.739340847770625 0.247575169364321 0.174092629072705 0.166239922650637 0.07734209231389 0.209122849322507
"mb64" 0.8 0.828578788073926 0.216432518822455 0.79983726956954 0.181503279591843 0.0887825141172826 0.0892523845722189
"mb65" 0.782003301238699 0.775738325008486 0.205162565085087 0.612253090530839 0.164413955247911 0.0978568791851462 0.103000731243926
"mb66" 0.693312265173673 0.72432705903191 0.246673536906824 0.127731151188402 0.162495938728001 0.0799695764328266 0.208738475414301
"mb67" 0.752941176470588 0.812183782305483 0.212175042564017 0.749911598542961 0.179055829250426 0.0864796292161121 0.0839574285804456
"mb68" 0.720930232558139 0.754858626254122 0.193890467990353 0.717335405780483 0.156726825341442 0.0743856458500099 0.0634167236783663
"mb69" 0.770003350782966 0.76032062497457 0.207470262228087 0.503420806274723 0.158249843690084 0.102463488051242 0.13118564840813
"mb70" 0.695571499843763 0.738326855871245 0.249364914055715 0.151011580090037 0.168104235273651 0.068520488332296 0.211337554158935
"mb71" 0.69921832166027 0.73613841880642 0.251511538127492 0.150975322718306 0.16894196998853 0.0775045250693809 0.213822608090795
"mb72" 0.738095238095238 0.757777777777778 0.181113391655888 0.737994239631832 0.147724473997994 0.0710340481611667 0.0465987458685553
"mb73" 0.744749053677106 0.755625973467963 0.217002077257136 0.394581652332189 0.157349426628193 0.104467504377595 0.158669542919968
"mb74" 0.685000503654396 0.731537935495034 0.242509493017244 0.176102297962638 0.163240113543391 0.078994360289343 0.203352830015218
"mb75" 0.652289256385079 0.601394390746316 0.167190262817702 0.187610490037484 0.10936534938821 0.0711312244878044 0.0946857703034182
"mb76" 0.813953488372093 0.823989569752282 0.201353601273005 0.813854547633948 0.169314426796074 0.0839931282192936 0.0720878106013374
"mb77" 0.883720930232558 0.859898904802022 0.175673824969618 0.883587402688839 0.152298992827306 0.075239796040126 0.042251605879291
"mb78" 0.8 0.854136387419336 0.236362547585069 0.79983726956954 0.199302182788769 0.100443265380353 0.112963895808272
"mb79" 0.675286150029761 0.648087684224274 0.198767612676418 0.127755037885396 0.126486562301775 0.0694584955551705 0.153007328097985
"mb80" 0.702333021467628 0.721294465849953 0.234910451029878 0.255292038642429 0.15898187632194 0.0957853968381189 0.193299841703975
"mb81" 0.682653528518554 0.628433956772757 0.191282417513352 0.140076191022481 0.122357822172545 0.0693456802516801 0.141999294622935
"mb82" 0.637962588805532 0.594500195490682 0.167694489113662 0.187977634798996 0.114581728647098 0.0675878175300964 0.0875641234688237
"mb83" 0.757197938561696 0.756964571974516 0.215454781855772 0.41782918395792 0.155716606139491 0.104106632060842 0.152654960228416
"mb84" 0.683274454755993 0.710347079580766 0.235726833162424 0.117964451415881 0.155077307417461 0.0775473755292818 0.197005204814264
"mb85" 0.847058823529412 0.896296296296296 0.188935744956721 0.846890011464428 0.15716371971814 0.0766653590886865 0.0578312875487385
"mb86" 0.753121640579251 0.787527850549666 0.221920070362187 0.571832522787963 0.171965182079895 0.101052742172408 0.121735031803719
"mb87" 0.788235294117647 0.840216423532635 0.206606126941233 0.788059578143727 0.172025380145642 0.082417780098644 0.0775504210026819
"mb88" 0.717647058823529 0.77296875 0.203441617540888 0.717451453397212 0.16630761425326 0.0784545602968752 0.0741529417690729
"mb89" 0.777475097934445 0.71103235482361 0.188671637468136 0.487948016106692 0.138882251945284 0.0901864574495534 0.110880616286027
"mb90" 0.752491274889809 0.761562261173976 0.211353477609157 0.464556703418891 0.154927191752761 0.103067460075096 0.142673719912307
"mb91" 0.762606719326894 0.711894832776382 0.166334386918023 0.612186182787158 0.130349326280434 0.0774696917473685 0.0590065232674785
"mb92" 0.727582501355545 0.712761504412956 0.194831683124448 0.393699855507008 0.141537817382398 0.083424363487038 0.130381571316547
"mb93" 0.705882352941177 0.766490989459368 0.187855677582714 0.70555771435467 0.147249961181493 0.0704807746366366 0.0560372618919865
"mb94" 0.771369240675152 0.739415766776729 0.205012338453633 0.42875347326752 0.150196948535838 0.0899872340875216 0.135823316897616
"mb95" 0.662790697674419 0.755146175410493 0.196647347568161 0.658562996268146 0.155063652851014 0.0725851215474704 0.0666198210303738
"mb96" 0.677966260575765 0.659025691490908 0.201359502677605 0.127764598262807 0.129306638203158 0.072150331325434 0.156944194296381
"mb97" 0.665920498139773 0.633031047066335 0.162574840377179 0.336198639007528 0.112853088781817 0.0713602614656166 0.0955978204575891
"mb98" 0.677205863534246 0.649416919447253 0.169784399432996 0.34131682445908 0.120211544352815 0.072670454311315 0.0976632700284729
"mb99" 0.774849107166668 0.79981458092602 0.197264389974082 0.591537979991221 0.152462831745491 0.107742737017777 0.110030107072763
"mb100" 0.68107617933565 0.702734450016003 0.231675381442635 0.127702697841685 0.150307739567669 0.0684114261044292 0.192747921629487
"mb101" 0.676853764564578 0.624321090368598 0.187489745377468 0.15180061522491 0.120288096703243 0.0703033806228626 0.135985346020945
"mb102" 0.750653178802845 0.765412463533795 0.210073592011108 0.471246575237223 0.156086306857352 0.0990656992078909 0.133998007123223
"mb103" 0.737889768610844 0.739761467415207 0.207279471679729 0.44231411589655 0.152048126782563 0.100758430638164 0.131103175045367
"mb104" 0.720863118408853 0.682677152818684 0.171835191076223 0.459896299332134 0.121308892647524 0.0732364043119727 0.081704015241766
"mb105" 0.624622372783116 0.577648321324544 0.158258129932279 0.140534893880571 0.0996348203749327 0.0585017803940029 0.0908963086651035
"mb106" 0.657959144336572 0.619003844764411 0.175021145341925 0.151923910165188 0.110180339649208 0.0642417249317781 0.11730376101977
"mb107" 0.790697674418605 0.723784946236559 0.160156495857021 0.790514676505813 0.132725331903481 0.063274958648092 0.0242227024078172
"mb108" 0.681998546477559 0.625495585053506 0.17660393351122 0.1871235074914 0.114002384859076 0.0685732363106109 0.115273930933232
"mb109" 0.676780441250624 0.67477965434044 0.21274244370191 0.13949918563623 0.136625986467764 0.0714788792139905 0.171477738255551
"mb110" 0.66446076949154 0.608682780718863 0.170355999444916 0.211474839148871 0.116724160815105 0.0712602327291891 0.0904818711951463
"mb111" 0.813953488372093 0.903193171040152 0.234952622807435 0.811672984803718 0.197161716075394 0.095081786922299 0.111125038695474
"mb112" 0.801681125409715 0.823598959564909 0.192945291295013 0.695963425789165 0.15377067101173 0.099191054420101 0.0892139647480997
"mb113" 0.692767669323925 0.702328765065735 0.201097072024222 0.244717717760176 0.137442889143257 0.0747530332370349 0.150390017567707
"mb114" 0.709302325581395 0.751627402355859 0.182557211106401 0.709255265051612 0.146679799054329 0.0681948111270161 0.0502491100448895
"mb115" 0.656489447106885 0.648841151736392 0.181459228483334 0.242155598653356 0.124493981991608 0.0612463196061074 0.1295475681579
"mb116" 0.779873508422244 0.705190682702195 0.18731172198088 0.499779347967494 0.141455043323481 0.076225057691791 0.0992315165859987
"mb117" 0.678822222879616 0.633517583943752 0.190325693920456 0.140046781171567 0.123616428222221 0.0686002405621637 0.142667818443592
"mb118" 0.764815326184744 0.687164473867208 0.186418081130806 0.429935956918978 0.131781091454953 0.085894788370569 0.115831831350871
"mb119" 0.810630306556054 0.822558860139305 0.214324730169737 0.607462371367817 0.167460321647548 0.096395535750644 0.112938457123413
"mb120" 0.7427140875879 0.693631050970343 0.168325411351245 0.48195573539092 0.123514047025756 0.0693333664622857 0.0779820116840298
"tnt1" 0.748530748089236 0.68369876999368 0.194843287386478 0.383386088580841 0.132288633316184 0.0875943841998347 0.135027773094996
"tnt2" 0.756737951425703 0.685039207380699 0.19120615254393 0.406707964304094 0.133578568642923 0.0901556137805383 0.126673548089302
"tnt3" 0.837209302325581 0.848847262247839 0.207154686368708 0.837079715430277 0.177532681984794 0.0876872625478879 0.0788278367012762
"tnt4" 0.64695748375904 0.66643114095218 0.206489722032798 0.0932693901001754 0.13670922470544 0.0693992948579956 0.16548505894195
"tnt5" 0.736386092032253 0.74698839582268 0.207565421819553 0.41782918395792 0.150974768894526 0.0993159190623588 0.144134087321339
"ufb1" 0.772883042543907 0.729666947356195 0.190050740754796 0.522920152007067 0.147066397687963 0.0850500036284784 0.102267393752872
"ufb2" 0.754828309208338 0.744015602290655 0.207849969118546 0.423720122849871 0.151639581134136 0.101102374887185 0.138865106273328
"ufb3" 0.718593816861205 0.647532829287704 0.178675583467723 0.380434743756498 0.120977314067523 0.0751646606541796 0.0996399571117393
"ufb4" 0.726831898378031 0.676396073609227 0.18524324011215 0.346455270018174 0.123896533188039 0.0863235482164 0.120072820754282
"ufb5" 0.694117647058824 0.772156020056 0.213552721822561 0.693954094353951 0.174405285921918 0.0829548250957636 0.086468156347509
"ufb6" 0.747414034603783 0.7355249117139 0.201308837384954 0.415163832178604 0.145762295809104 0.0925833706872758 0.131747420071447
"ufb7" 0.752713423617034 0.733315160804537 0.20628750315792 0.391462069994408 0.145265143286991 0.0896154201190366 0.142754378353275
"ufb8" 0.669294912146093 0.677404758175395 0.183322371239119 0.372137947881541 0.133439368187413 0.0867755275968077 0.104843922554361
"ufb9" 0.678250170657584 0.669426186026083 0.199060325278113 0.266056898047183 0.134870226982558 0.0860364117007553 0.150193954511381
"ufb10" 0.800012578018639 0.807724822994822 0.188063548071751 0.660792663668249 0.146666644074915 0.0921975179433123 0.0837047675307676
"ufb11" 0.667525481677526 0.638822937569728 0.193228425716634 0.19563910355759 0.12138120471838 0.0688580899734997 0.145716458067559
"ufb12" 0.705882352941177 0.627781899109792 0.164933344767144 0.705731785779764 0.13328367180089 0.0612173990233799 0.0287573828522223
"ufb13" 0.741176470588235 0.782268473701194 0.181861734186885 0.741064860057203 0.145856416856325 0.0689827699856886 0.0496137985181965
"ufb14" 0.767441860465116 0.784860260050815 0.181339270209821 0.764562219100465 0.149654595074873 0.0712245981890148 0.0488340379858341
"ufb15" 0.6866536603957 0.726804426578924 0.241184498290695 0.140954721362054 0.161553893745915 0.0639984420399514 0.202402523498521
"ufb16" 0.72849940025761 0.704025774356865 0.182553651880894 0.453129456181047 0.132536142826808 0.0872930307506105 0.103891210054576
"ufb17" 0.658823529411765 0.643901448490592 0.17914393005189 0.658562996268146 0.142191418452803 0.0694967344813768 0.0455571268464803
"ufb18" 0.660475591789177 0.641174896009042 0.194582769167538 0.174434873263915 0.126558753371444 0.0664085119078977 0.150806112290013
"ufb19" 0.725651168970214 0.677007328405154 0.170595236839345 0.419622770457704 0.122066335955207 0.0635217693167406 0.0805348967644333
"ufb20" 0.653827066915599 0.586983148747438 0.170187274398508 0.231230284588718 0.10799669577336 0.0648035181969846 0.112131701545302
"ufb21" 0.659914851581555 0.629151277333837 0.189137047092153 0.185669373603027 0.12241925144285 0.0643027636513532 0.144042641262987
"ufb22" 0.630952380952381 0.594050456076917 0.171301538216645 0.630914145108347 0.135649039977868 0.0593026320817307 0.0354082942089255
