"quartet" "wQuartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.689655172413793 0.759060159458806 0.216432609810485 0.689452145692324 0.182172049366987 0.0889568826694061 0.0979464516324111
"mb50" 0.755815732113514 0.791265896711601 0.206046063742118 0.570410111142222 0.162758829450441 0.106996495670214 0.123294442542604
"mb51" 0.76610726872339 0.78637713437268 0.211213409851067 0.615967349432825 0.170672461905036 0.102221425135699 0.115259450286614
"mb52" 0.68040239137313 0.717587839624229 0.19994106476934 0.309751142513067 0.148269989047841 0.0881230104891784 0.141778185700423
"mb53" 0.743721381337093 0.746736473725142 0.187437393162581 0.514856311015108 0.1430954949714 0.0892782442997122 0.102903977543355
"mb54" 0.719541977136425 0.698987073480302 0.189927958152032 0.403321120683227 0.14093815230588 0.0951810492557584 0.121861691037866
"mb55" 0.617036442638031 0.626113289226964 0.184958748369269 0.102791662721927 0.120716889465577 0.0586820385420149 0.144526258211793
"mb56" 0.742324632006138 0.791557449912247 0.204319940576306 0.626329483749846 0.164879228477007 0.101738525481062 0.107322681580224
"mb57" 0.692322394583126 0.693648449039882 0.200440636125038 0.209307949621963 0.149207037854692 0.0866126616670168 0.116850644061305
"mb58" 0.941860465116279 0.964410816869833 0.202964829691238 0.941810626654237 0.180152810389172 0.089844221349946 0.081850824529438
"mb59" 0.623529411764706 0.713634684074393 0.217010131906808 0.400723168728934 0.178193368588921 0.0812984871150736 0.097542494843859
"mb60" 0.811645600187143 0.805110347748341 0.21176228671341 0.56243171146416 0.165113405142094 0.116637762232608 0.138996010383058
"mb61" 0.902889702370486 0.920922847451103 0.237909543695821 0.824756000355602 0.205043616440997 0.129694517312663 0.144677522908701
"mb62" 0.828563653522225 0.831984968710694 0.192557296408199 0.697879709167128 0.157384434049069 0.110569913835048 0.108115698932977
"mb63" 0.860623123643534 0.867113085372052 0.228603963198145 0.744386650963475 0.189169637949467 0.121002581023489 0.134429618891683
"mb64" 0.796628866488255 0.785260500095023 0.20203034558253 0.572015807397767 0.160823246049078 0.100058059879903 0.118772783120231
"mb65" 0.770114942528736 0.756313010081613 0.162975624578437 0.770011116992279 0.133253458695961 0.0623491901099817 0.0364060355592769
"mb66" 0.892857142857143 0.924453015894128 0.228338243663487 0.892726186938448 0.201665911383574 0.0989251156556581 0.109472893433242
"mb67" 0.811764705882353 0.788195399138484 0.17650394217409 0.811609772486384 0.149098577253869 0.0745690513930015 0.0499124904840625
"mb68" 0.825581395348837 0.869200394866733 0.205070486285887 0.825421632910498 0.177967225390421 0.0854615131019202 0.0843153102395808
"mb69" 0.647579041215211 0.63437604015063 0.169379283772837 0.163021754178037 0.123882976034786 0.074118261220864 0.0996502232640452
"mb70" 0.75723892363324 0.773782559456399 0.191369012943106 0.618228158872366 0.152258321180354 0.0927788197494011 0.0930323306162042
"mb71" 0.790697674418605 0.834633385335413 0.211712133387784 0.790485125496657 0.18111585410916 0.088192361773338 0.0914638584872419
"mb72" 0.847058823529412 0.870037220843672 0.218745003406118 0.846956511701391 0.18837272741365 0.0941255459257973 0.0995332621342022
"mb73" 0.626823408021807 0.608996464509111 0.177788852217596 0.148418185606585 0.115849710780347 0.0525183608519346 0.136753113545663
"mb74" 0.838556126511808 0.78707967444849 0.184937369187451 0.699342061273003 0.149363371622383 0.0927764510306182 0.0856158586157493
"mb75" 0.602852048021104 0.606249559124362 0.171916224739901 0.17121247772055 0.112195454001574 0.0646289960674228 0.127666633634914
"mb76" 0.74933433292796 0.773830836395615 0.203687127092481 0.519662944061384 0.157527839362474 0.100850929408476 0.129991172268062
"mb77" 0.618274992859227 0.613008302544975 0.179263182077381 0.125973047250274 0.116858530668639 0.0605709236795237 0.138314552345602
"mb78" 0.626548421687107 0.606765635680641 0.175186676084737 0.148408639404418 0.113611877253096 0.0523760771873358 0.133676211632388
"mb79" 0.62959987693741 0.628714480555732 0.18438180874681 0.11527521563334 0.12114026863491 0.0753515642618022 0.138664138061367
"mb80" 0.632418062824204 0.622311213002275 0.178584484345838 0.116570524733385 0.117467349771564 0.0672726762586729 0.133725986083547
"mb81" 0.783436554896558 0.694107276056147 0.168059032600002 0.648204697393894 0.131830018483063 0.074634398799507 0.0659454884355065
"mb82" 0.647058823529412 0.66135582630428 0.167244287435659 0.646712376341389 0.134626422466224 0.0602473697497502 0.0405348918799491
"mb83" 0.626339095838033 0.608637804292767 0.176671232124765 0.136825808836749 0.114896539763242 0.0490548550345877 0.135818651504716
"mb84" 0.828770868330421 0.827834535971994 0.213509953455233 0.610997152148875 0.17220747444609 0.10633037719691 0.131570648318121
"mb85" 0.744686425150489 0.76617354452151 0.207624589039773 0.493852983196794 0.161046676096645 0.10287901919674 0.140979963085072
"mb86" 0.839080459770115 0.838351409978308 0.168275523874776 0.83888205740009 0.142981525221301 0.0681907181241275 0.0425073524671905
"mb87" 0.742462484076557 0.632223841010124 0.151261429411687 0.561888825743691 0.115159730868424 0.0697879672614042 0.062222485815695
"mb88" 0.714285714285714 0.796850393700787 0.212794433372466 0.714014836740834 0.176657871134108 0.0839922735509841 0.0913350431170409
"mb89" 0.695479998749241 0.641875723178627 0.171554956558137 0.331651990088846 0.123300403246865 0.0715714946665291 0.111478058263942
"mb90" 0.656701003521946 0.644562477009071 0.178166149207638 0.167826625936945 0.129322400156832 0.071088116105763 0.102251603673537
"mb91" 0.647174408309563 0.637725895299906 0.185054783246885 0.126848027652286 0.127164182505261 0.0767743048606642 0.134478809876644
"mb92" 0.644691987760828 0.641105345764362 0.185838745333992 0.117914545687924 0.126451376149697 0.0771291859311134 0.137189097365066
"mb93" 0.679451590891698 0.702784163028164 0.187516118542931 0.331490913069836 0.139222967772459 0.0776909610355967 0.124265278115677
"mb94" 0.858460451748053 0.842930844242984 0.179414028021817 0.749624375803803 0.146373708183068 0.0920976404183148 0.0798178453422323
"mb95" 0.658937339576644 0.64316181387699 0.174343784554432 0.179814242075298 0.13024043419032 0.0728973562724923 0.0977595477621383
