"ci" "cci" "ri" "rc" "rhi" "rhiBar" "rci"
"1" NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA
"3" 0.666666666666667 0.840399079517119 0.833333333333333 0.555555555555556 0.166666666666667 0.172651933701657 0.834358677202271
"4" NA NA NA NA NA NA NA
"5" 0.5 0.505556012908334 0.5 0.25 0.5 0.511087645195354 0.494344269158712
"6" NA NA NA NA NA NA NA
"7" 1 1 1 1 0 0 1
"8" 1 NA NA NA NA NA NA
"9" 0.5 0.758398624801295 0.75 0.375 0.25 0.259000259000259 0.749293046341853
"10" NA NA NA NA NA NA NA
"11" 1 NA NA NA NA NA NA
"12" NA NA NA NA NA NA NA
"13" 1 NA NA NA NA NA NA
"14" NA NA NA NA NA NA NA
"15" 1 NA NA NA NA NA NA
"16" NA NA NA NA NA NA NA
"17" 0.75 0.839665029708892 0.833333333333333 0.625 0.166666666666667 0.172890733056708 0.833390039642344
"18" 0.6 0.676900649426101 0.666666666666667 0.4 0.333333333333333 0.345781466113416 0.66425559007518
"19" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"20" 0.4 0.586344763186274 0.571428571428571 0.228571428571429 0.428571428571429 0.443590122726601 0.5709234037017
"21" 0.428571428571429 0.84511834016411 0.818181818181818 0.350649350649351 0.25 0.251351011687822 0.772804559864014
"22" 1 1 1 1 0 0 1
"23" 1 NA NA NA NA NA NA
"24" 0.5 0.610259601587092 0.6 0.3 0.4 0.413223140495868 0.596805570163159
"25" 0.666666666666667 0.67226952785023 0.666666666666667 0.444444444444444 0.333333333333333 0.340831629175187 0.664707161124584
"26" 0.5 0.610259601587092 0.6 0.3 0.4 0.413223140495868 0.596805570163159
"27" 0.5 0.84790071644216 0.833333333333333 0.416666666666667 0.181818181818182 0.177588350204227 0.836752998560353
"28" 0.666666666666667 0.504190140312106 0.5 0.333333333333333 0.5 0.509683995922528 0.494424546370922
"29" 1 1 1 1 0 0 1
"30" 1 1 1 1 0 0 1
"31" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"32" 0.5 0.762942508070577 0.75 0.375 0.25 0.25970653161927 0.753056573338089
"33" 0.75 0.755668454103621 0.75 0.5625 0.25 0.25706940874036 0.748544003995029
"34" 0.375 0.833642178823843 0.8 0.3 0.25 0.247856045208943 0.783236813672641
"35" 0.375 0.780986044541489 0.75 0.28125 0.3125 0.313774709758393 0.714201688569238
"36" 0.333333333333333 0.629585839130731 0.6 0.2 0.428571428571429 0.428939090649128 0.599131196322002
"37" 0.375 0.606829255420183 0.583333333333333 0.21875 0.416666666666667 0.441618088676912 0.58082764220133
"38" 0.666666666666667 0.756321541315388 0.75 0.5 0.25 0.258464719565779 0.747783083784163
"39" 0.375 0.79349035427118 0.761904761904762 0.285714285714286 0.277777777777778 0.286057554780022 0.743193275760852
"40" 0.333333333333333 0.776567831671908 0.739130434782609 0.246376811594203 0.3 0.306435137895812 0.728278230039577
"41" 0.333333333333333 0.629585839130731 0.6 0.2 0.428571428571429 0.428540818512963 0.599550173428833
"42" 0.3 0.62266887882664 0.588235294117647 0.176470588235294 0.4375 0.447112927950945 0.585111593807526
"43" 0.428571428571429 0.619017822449634 0.6 0.257142857142857 0.4 0.422029964127453 0.596262178296836
"44" 0.6 0 0 0 1 1.02511532547412 -0.025496795646908
"45" 0.4 0.256466885467846 0.25 0.1 0.75 0.767263427109974 0.238755294763803
"46" 0.428571428571429 0.656592635717079 0.636363636363636 0.272727272727273 0.363636363636364 0.385690868768682 0.633801367170481
"47" 0.6 0.676900649426101 0.666666666666667 0.4 0.333333333333333 0.341471743213249 0.668633415897231
"48" 0.4 0 0 0 1 1.02249488752556 -0.0230749575284836
"49" 0.25 0.745131516150562 0.689655172413793 0.172413793103448 0.409090909090909 0.410265761042987 0.635905004944798
"50" 0.333333333333333 0.750210366124014 0.714285714285714 0.238095238095238 0.333333333333333 0.337590727508018 0.69536435853063
