"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.881932297561478 0.24920169454838 0.801930863862892 0.234038202127446 0.115357299930622 0.108669551664143
"mb50" 0.632223850495495 0.193222756025134 0.0833355794014995 0.155147051816502 0.0884618324405492 0.139098735318388
"mb51" 0.926516035986539 0.198478180795912 0.937503209883588 0.196273444866934 0.0960301461643895 0.0484517649085356
"mb52" 0.705431337998397 0.230496222506865 0.0930507898501296 0.188307795639608 0.108082791152176 0.178934701458632
"mb53" 0.643007708855445 0.202225415944315 0.0521570101905845 0.162328275955843 0.0871183856824122 0.158609242667201
"mb54" 0.786138274420069 0.278057663852305 0.238502371829965 0.235742534797202 0.156806431306416 0.208662850169951
"mb55" 0.705535012427912 0.22081569105202 0.260729334730972 0.183253245389989 0.117175194928592 0.157905101582443
"mb56" 0.811198235726538 0.235827754384315 0.739485431883892 0.219122264161205 0.107119948500522 0.0927923180637255
"mb57" 0.83224577005255 0.236527382736205 0.747236767885018 0.220087905405993 0.106195912887449 0.093380634540945
"mb58" 0.710357334700053 0.218070917108636 0.248254016499618 0.179229802247697 0.10885383819081 0.14263201662964
"mb59" 0.747744087584998 0.227743419412801 0.48043231536456 0.200784519829832 0.140013464822252 0.132297563489466
"mb60" 0.65494000755527 0.199814012133256 0.176930750345205 0.161187479231457 0.105072557022884 0.135029325012382
"mb61" 0.85464954699572 0.241022573512715 0.781184197386441 0.225509144025624 0.10832507552414 0.0989594876339272
"mb62" 0.821808219178082 0.253086953544002 0.729009382370843 0.235255848477138 0.110824463580939 0.113282041619598
"mb63" 0.756302353011735 0.239503063218126 0.505027819197049 0.210027572506482 0.127651589366026 0.127359879233882
"mb64" 0.751865835455264 0.213602512481467 0.415330015967976 0.179297496672296 0.12000711124042 0.128929040164554
"mb65" 0.821817623894032 0.273606671386891 0.635341234402343 0.254211041190214 0.120545844671891 0.13764257782729
"mb66" 0.963903399845851 0.283638435195412 0.947876543121814 0.280506005808262 0.141718228167423 0.14955205666884
"mb67" 0.717432603930316 0.228718353281863 0.271308383888656 0.187057665974621 0.127532446812099 0.161187060335077
"mb68" 0.783651074488599 0.241457537732444 0.552159333813171 0.213941420078337 0.128152777765343 0.129918975466305
"mb69" 0.90650947581923 0.230392046210882 0.85410567887849 0.218720451163961 0.106177807741849 0.0863391705698257
"mb70" 0.857590414422337 0.238705610884803 0.82288296288899 0.230717273596958 0.11247065061679 0.0962088429895279
"mb71" 0.859691160809372 0.241758606012701 0.810440550032979 0.229596884467206 0.112479779063273 0.099233724526112
"mb72" 0.756332645850156 0.256569709330514 0.155377686469131 0.215486165880636 0.128689996170895 0.196626050636897
"mb73" 0.718682806122089 0.217404230065845 0.329846271351271 0.18283539763664 0.115818994768468 0.132801494054132
"mb74" 0.721868080252298 0.195120516375001 0.708159999619569 0.179915626492171 0.0844441167094897 0.0444656230753408
"mb75" 0.60902250032391 0.192594794991818 0.0207038548122282 0.150855461212383 0.0840590787674997 0.151284400810728
"mb76" 0.780328308978637 0.265613685021797 0.342019493985293 0.229819431301695 0.148128977939522 0.174877845026066
"mb77" 0.661238164886186 0.211785865433344 0.135759189235519 0.170100912196292 0.109531095269778 0.152445049452294
"mb78" 0.716940726577438 0.214563697290658 0.422124195260392 0.187870912624883 0.115589870831377 0.117317918525267
"mb79" 0.777756059421423 0.226319979632455 0.58930901021563 0.201844739939917 0.116170745784068 0.112276203818675
"mb80" 0.723079262993221 0.217159218211788 0.375144500778295 0.186984597764172 0.120259213018852 0.132644239397433
"mb81" 0.770511979253333 0.265472620474964 0.186526800347097 0.223590702204906 0.139685657358967 0.201263190251737
"mb82" 0.86972983079368 0.281227074873739 0.768460384698252 0.269288748584171 0.12961418975896 0.145984904853077
"mb83" 0.913005382400801 0.212620919776237 0.894764156040453 0.208551292829048 0.099597978978581 0.0650935565351196
"mb84" 0.787327107223076 0.227537973860212 0.726220736979225 0.210346041330549 0.0998512189278739 0.0825459020696466
"mb85" 0.73767697954903 0.210165809250517 0.691436357541918 0.192902228677177 0.09027238404322 0.0607507793365355
"mb86" 0.721791260280566 0.224023392012069 0.365823596024117 0.190644993137357 0.125282575282365 0.140303455090092
"mb87" 0.725695232046455 0.220464684705885 0.419288805329595 0.1917352912598 0.117738910466952 0.123996611299267
"mb88" 0.626790603723694 0.184605637979439 0.136492096414491 0.146652224982823 0.086254945726968 0.123048583572024
"mb89" 0.607856389096385 0.178843330618624 0.0415692762637297 0.140379035815386 0.0690074113820456 0.128417480842093
"mb90" 0.737428477806065 0.211360991771296 0.446178824575542 0.178044230354169 0.109517162059746 0.11387830987385
"mb91" 0.593816813151249 0.170141238383703 0.0209027706233107 0.133209205828449 0.0639925349957403 0.122487095622927
"mb92" 0.714890592456663 0.238688184747332 0.113850272049112 0.193980051566238 0.11944298294075 0.184870957119793
"mb93" 0.769362585378804 0.217987950208081 0.529824508145557 0.192551643516002 0.123528540509808 0.121324418358375
"mb94" 0.822163102425049 0.158388010958251 0.719303704918971 0.14919971703851 0.0695737786319214 0.000857639035051135
"mb95" 0.733509583905139 0.239565725967545 0.0928679940968461 0.197556240424375 0.10100772989583 0.182406302812424
"mb96" 0.643096894556564 0.201297731396523 0.0527081282458835 0.163122075870516 0.0836385908623497 0.156616253097039
"mb97" 0.706695280276395 0.169775240458803 0.542203839535823 0.154193180536314 0.102836697268615 0.0673444114339644
"mb98" 0.611992111235052 0.181463328004003 0 0.140763851331072 0.0638962640573031 0.134505952957879
"mb99" 0.685746787662556 0.192295602795354 0.52064425896886 0.164248842761505 0.0876819705401045 0.0735281089744643
