"ci" "cci" "ri" "rc" "rhi" "rhiBar" "rci"
"1" 1 NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA
"4" 1 NA NA NA NA NA NA
"5" 0.5 0.505556012908334 0.5 0.25 0.5 0.511087645195354 0.494344269158712
"6" 1 1 1 1 0 0 1
"7" NA NA NA NA NA NA NA
"8" NA NA NA NA NA NA NA
"9" 0.5 0.758398624801295 0.75 0.375 0.25 0.259000259000259 0.749293046341853
"10" 1 1 1 1 0 0 1
"11" 1 NA NA NA NA NA NA
"12" 1 1 1 1 0 0 1
"13" 1 1 1 1 0 0 1
"14" 1 1 1 1 0 0 1
"15" NA NA NA NA NA NA NA
"16" 1 1 1 1 0 0 1
"17" 1 1 1 1 0 0 1
"18" 0.5 0.84790071644216 0.833333333333333 0.416666666666667 0.181818181818182 0.188341651756286 0.825782398065771
"19" 0.5 0.508524379006895 0.5 0.25 0.5 0.511639805576874 0.496683903093492
"20" 0.666666666666667 0 0 0 1 1.01844262295082 -0.0185967341380592
"21" 1 1 1 1 0 0 1
"22" 1 NA NA NA NA NA NA
"23" 0.375 0.804873070048286 0.772727272727273 0.289772727272727 0.263157894736842 0.26083781104909 0.769615259482568
"24" 0.5 0.511632103717917 0.5 0.25 0.5 0.514668039114771 0.496617601465564
"25" 0.428571428571429 0.687921408211035 0.666666666666667 0.285714285714286 0.333333333333333 0.349162011173184 0.671554775485668
"26" 0.666666666666667 0.756321541315388 0.75 0.5 0.25 0.258464719565779 0.747783083784163
"27" 0.666666666666667 0.963098862087121 0.954545454545455 0.636363636363636 0.0666666666666667 0.0668404518414545 0.941304667431033
"28" 1 NA NA NA NA NA NA
"29" 0.5 0.842740403107894 0.833333333333333 0.416666666666667 0.166666666666667 0.175377060680463 0.833920353897438
"30" 1 1 1 1 0 0 1
"31" 1 1 1 1 0 0 1
"32" 0.5 0 0 0 1 1.01386748844376 -0.0140209994187811
"33" 0.5 0.762942508070577 0.75 0.375 0.25 0.264655286489348 0.748016829432104
"34" 0.428571428571429 0.789464777654556 0.764705882352941 0.327731092436975 0.266666666666667 0.268781077812122 0.754736194743021
"35" 0.5 0.255785042725758 0.25 0.125 0.75 0.77120822622108 0.234084519718314
"36" 0.666666666666667 0.963098862087121 0.954545454545455 0.636363636363636 0.0588235294117647 0.0586029067041725 0.949675795954489
"37" 0.666666666666667 0.949451314159269 0.941176470588235 0.627450980392157 0.0714285714285714 0.07097232079489 0.937112316808493
"38" 0.666666666666667 0.963098862087121 0.954545454545455 0.636363636363636 0.0625 0.0643459236857345 0.943837598627756
"39" 0.285714285714286 0.464366461383757 0.444444444444444 0.126984126984127 0.555555555555556 0.587682181476258 0.430770529537892
"40" 0.4 0.41037789075805 0.4 0.16 0.6 0.615510874025441 0.394460822875987
"41" 0.375 0.640246072374009 0.615384615384615 0.230769230769231 0.416666666666667 0.411048997040447 0.612684810979972
"42" 0.6 0.896339777772985 0.882352941176471 0.529411764705882 0.133333333333333 0.137258938988402 0.876314151586884
"43" 0.3 0.234915531898585 0.222222222222222 0.0666666666666667 0.777777777777778 0.807940904893814 0.203018885998069
