"clustering" "splitwise"
"mb49" 0.249882292833185 6.50779464019882
"mb50" 0.337290066617014 11.3985655704439
"mb51" 0.337290066617014 11.3985655704439
"mb52" 0.249882292833185 6.50779464019882
"mb53" 0.249882292833185 6.50779464019882
"mb54" 0.650022421648354 27.8104908296734
"mb55" 0.413816850303634 15.5195809714053
"mb56" 0.337290066617014 11.3985655704439
"mb57" 0.249882292833185 6.50779464019882
"mb58" 0.337290066617014 11.3985655704439
"mb59" 0.249882292833185 6.50779464019882
"mb60" 0.413816850303634 15.5195809714053
"mb61" 0.99498482818597 45.2527389821584
"mb62" 0.413816850303634 15.5195809714053
"mb63" 0.337290066617014 11.3985655704439
"mb64" 0.249882292833185 6.50779464019882
"mb65" 0.337290066617014 11.3985655704439
"mb66" 0.413816850303634 15.5195809714053
"mb67" 0.482066148083093 19.1216169854854
"mb68" 0.99498482818597 45.2527389821584
"mb69" 0.337290066617014 11.3985655704439
"mb70" 0.979868756651153 44.495347409104
"mb71" 0.249882292833185 6.50779464019882
"mb72" 0.249882292833185 6.50779464019882
"mb73" 0.249882292833185 6.50779464019882
"mb74" 0.413816850303634 15.5195809714053
"mb75" 0.249882292833185 6.50779464019882
"mb76" 0.337290066617014 11.3985655704439
"mb77" 0.543564443199596 22.32673141539
"mb78" 0.249882292833185 6.50779464019882
"mb79" 0.988699408288497 44.937865644805
"mb80" 0.482066148083093 19.1216169854854
"mb81" 0.249882292833185 6.50779464019882
"mb82" 0.599314237309809 25.2071497996374
"mb83" 0.482066148083093 19.1216169854854
"mb84" 0.543564443199596 22.32673141539
"mb85" 0.599314237309809 25.2071497996374
"mb86" 0.968461008760162 43.9234410612083
"mb87" 0.249882292833185 6.50779464019882
"mb88" 0.543564443199596 22.32673141539
"mb89" 0.413816850303634 15.5195809714053
"mb90" 0.650022421648354 27.8104908296734
"mb91" 0.91829583405449 41.4050441068091
"mb92" 0.599314237309809 25.2071497996374
"mb93" 0.77655578544446 34.2536396694418
"mb94" 0.249882292833185 6.50779464019882
"mb95" 0.988699408288497 44.937865644805
"mb96" 0.988699408288497 44.937865644805
"mb97" 0.811278124459133 36.0110693661676
"mb98" 0.738284866143451 32.3117426240053
"mb99" 0.599314237309809 25.2071497996374
"mb100" 0.249882292833185 6.50779464019882
"mb101" 0.811278124459133 36.0110693661676
"mb102" 0.599314237309809 25.2071497996374
"mb103" 0.543564443199596 22.32673141539
"mb104" 0.77655578544446 34.2536396694418
"mb105" 0.77655578544446 34.2536396694418
"mb106" 0.337290066617014 11.3985655704439
"mb107" 0.482066148083093 19.1216169854854
"mb108" 0.249882292833185 6.50779464019882
"mb109" 0.896038232534557 40.2857451784369
"mb110" 0.413816850303634 15.5195809714053
"mb111" 0.249882292833185 6.50779464019882
"mb112" 0.650022421648354 27.8104908296734
"mb113" 0.599314237309809 25.2071497996374
"mb114" 0.738284866143451 32.3117426240053
"mb115" 0.937734293986804 42.3815851339852
"mb116" 0.249882292833185 6.50779464019882
"mb117" 0.482066148083093 19.1216169854854
"mb118" 0.543564443199596 22.32673141539
"mb119" 0.91829583405449 41.4050441068091
"mb120" 0.482066148083093 19.1216169854854
"mb121" 0.842657877202239 37.5960318668888
"mb122" 0.249882292833185 6.50779464019882
"mb123" 0.337290066617014 11.3985655704439
"tnt1" 0.543564443199596 22.32673141539
"tnt2" 0.91829583405449 41.4050441068091
"tnt3" 0.896038232534557 40.2857451784369
"tnt4" 0.842657877202239 37.5960318668888
"tnt5" 0.249882292833185 6.50779464019882
"tnt6" 0.696212260125146 30.1703867747597
"iq1" 0.954434002924965 43.2198340639885
"iq2" 0.696212260125146 30.1703867747597
"ufb1" 0.696212260125146 30.1703867747597
"ufb2" 0.738284866143451 32.3117426240053
"ufb3" 0.77655578544446 34.2536396694418
"ufb4" 0.77655578544446 34.2536396694418
"ufb5" 0.599314237309809 25.2071497996374
"ufb6" 0.413816850303634 15.5195809714053
"ufb7" 0.337290066617014 11.3985655704439
"ufb8" 0.543564443199596 22.32673141539
"ufb9" 0.413816850303634 15.5195809714053
"ufb10" 0.482066148083093 19.1216169854854
"ufb11" 0.979868756651153 44.495347409104
"ufb12" 0.337290066617014 11.3985655704439
"ufb13" 0.738284866143451 32.3117426240053
"ufb14" 0.870864469235364 39.0182648675719
"ufb15" 0.738284866143451 32.3117426240053
